Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
This is How We Created Our Autoimmune Disease,4HbznFq7MI8,Beyond Remission: A New Era of Permanent Healing ,2025-03-31T23:46:32Z,https://www.youtube.com/watch?v=4HbznFq7MI8,Interested in The Autoimmune Healing Program or The Chronic Illness Healing Program? Apply for a complimentary course ...,159,63,6,0
"The body keeps score, babe. #healing #chronicillness #autoimmunedisease #trauma #fyp #mentalhealth",kHNQZxnZiVU,Taylor Lee-Ann,2025-03-31T21:49:26Z,https://www.youtube.com/watch?v=kHNQZxnZiVU,,8,1546,9,0
Who else feels THIS about their chronic illness? #chronicillness #autoimmunedisease #spoonie #flare,ZXczHVpo1FE,Calling In Sick,2025-03-31T21:30:00Z,https://www.youtube.com/watch?v=ZXczHVpo1FE,Oh!! I just needed this all along!!! #podcast #podcastclips #CallingInSick #ChronicIllness #MakingFriendsWithChronicIllness ...,6,253,0,0
Chronic Illness is learning to manage THIS #chronicillness #autoimmunedisease #spoonie #flareup,EZUCd27T1ik,Calling In Sick,2025-03-31T21:29:24Z,https://www.youtube.com/watch?v=EZUCd27T1ik,Do you always have to pay to play because of your chronic illness? #podcast #podcastclips #CallingInSick #ChronicIllness ...,54,895,0,0
You need THIS trick if you feel low energy #funny #monday #autoimmunedisease #spoonie #spraytan,fUBtdMameF4,Calling In Sick,2025-03-31T21:24:52Z,https://www.youtube.com/watch?v=fUBtdMameF4,It's like finding a portable battery for your phone when you're on 5%... but like energy and having a chronic illness... #podcast ...,8,2359,0,3
Watch my autoimmune disease steal my spark,yF0An9GjbA8,skyepolk,2025-03-31T21:18:33Z,https://www.youtube.com/watch?v=yF0An9GjbA8,shorts #autoimmunedisease #chronicillness #chronicpainwarrior.,11,1783,10,0
Does Your Gut Health Really Impact Your Autoimmune Disease Risk?,e4w0W9l2b-4,Root Cause with Dr Jake,2025-03-31T19:27:40Z,https://www.youtube.com/watch?v=e4w0W9l2b-4,If you are treating your gut badly (and you may think you are not)- you could be setting yourself up for autoimmune disease.,85,111,4,0
Gary Brecka - Shawn Ryan - Uncovering the Truth About Autoimmune Diseases and Immunity !,98siqdlqMMU,Gladiator Faith & Mindset,2025-03-31T18:05:56Z,https://www.youtube.com/watch?v=98siqdlqMMU,Gary Brecka - Shawn Ryan - Uncovering the Truth About Autoimmune Diseases and Immunity ! #garybrecka #health #nutrition ...,34,84,0,0
Start decreasing flare-ups 💜 #Lupus #lupusawareness #naturalhealing #autoimmunedisease,zqfXvIijIg0,Call Me Nahdu,2025-03-31T18:00:48Z,https://www.youtube.com/watch?v=zqfXvIijIg0,disease #lupuswarrior.,,,,
daily life with #health problems 😔 #arthritis #chronicillness #autoimmunedisease,eVwcSpbslVY,Yulanda Rambles,2025-03-31T18:00:32Z,https://www.youtube.com/watch?v=eVwcSpbslVY,"If this message found you, it was meant for you. Let's talk about it in the comments! Subscribe & turn on notifications for ...",33,797,12,2
Gary Brecka - Shawn Ryan - Understanding Autoimmune Conditions - Why Does the Immune System Attack ?,m44t1aaB9cs,Gladiator Faith & Mindset,2025-03-31T17:57:13Z,https://www.youtube.com/watch?v=m44t1aaB9cs,Gary Brecka - Shawn Ryan - Understanding Autoimmune Conditions - Why Does the Immune System Attack ? #garybrecka ...,37,85,0,0
আমি এমন এ 🥀💔 #music #cover #coversong #song #sad #unfrez #autoimmunedisease,o-r4EfdY6O8,N-Dream wife,2025-03-31T16:50:27Z,https://www.youtube.com/watch?v=o-r4EfdY6O8,,10,465,2,3
comedy funny#medical #biology #autoimmunedisease #norcet#education #viralshorts #viralvideo #aiims #,Bl9dm3XozB4,complex_disease_information,2025-03-31T15:34:19Z,https://www.youtube.com/watch?v=Bl9dm3XozB4,,32,1659,4,0
What is a MS relapse? #ms #multiplesclerosis #chronicillness  #autoimmunedisease #mswarrior,GOnsvG_bcfw,Alicia Christian,2025-03-31T14:42:24Z,https://www.youtube.com/watch?v=GOnsvG_bcfw,,118,298,0,0
Detecting diabetes early on,PtHSSMCYt7c,"Kevin Pho, MD",2025-03-31T11:38:24Z,https://www.youtube.com/watch?v=PtHSSMCYt7c,Discover how a simple blood test can detect type 1 diabetes before it impacts your health. Learn about the proactive steps you ...,37,1163,8,0
