Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Not so healthy #food #recipe #cooking #mrbeast #chocolate,afIF_Wt-xks,Chef Mighty,2025-03-31T23:46:39Z,https://www.youtube.com/watch?v=afIF_Wt-xks,,9,31656,182,6
Balanced diet without giving up your cravings — it’s possible ✅,OfhHPVNGA20,Anna Shen,2025-03-31T21:48:17Z,https://www.youtube.com/watch?v=OfhHPVNGA20,,15,21038,174,0
SHOCKING Weightloss Results | How I lost 4kgs eating this simple diet,dI--xsqFctw,Afro~Vazi,2025-03-31T21:19:28Z,https://www.youtube.com/watch?v=dI--xsqFctw,This simple recipe helped me loose 4kgs within a month. It has been one of my go to meals in my weight loss and intermittent ...,222,137,10,3
"Comenta ""LIBRO"" y te lo envío directo⬇️#fit #healthy #diet #healthyfoods #dietfoodideas",2vFygexFmvE,SanoYDiabético,2025-03-31T18:28:00Z,https://www.youtube.com/watch?v=2vFygexFmvE,,25,9049,171,36
STOP thinking it’s too expensive to eat healthy. Check out my cost effective meal plan in my bio.,ZZwAIdydTOs,Jarc,2025-03-31T18:23:08Z,https://www.youtube.com/watch?v=ZZwAIdydTOs,,10,191798,3779,247
Tasty & Healthy Iron Rich Nuggets | Try In Your Healthy Diet Plan | Dietitian Preeti,kH--5akw5Qo,Dietitian Preeti,2025-03-31T16:53:37Z,https://www.youtube.com/watch?v=kH--5akw5Qo,Read the caption for Recipe.... . . . Iron Rich Nuggets – A Power-Packed Snack! Boost your iron levels with these delicious and ...,49,1630,19,0
(hostel things)🫶making healthy food in kettle /made by #charanya#padma#likitha😂#foodies#trending,FnFmkaH8Lvw,Likitha Kolli,2025-03-31T16:48:04Z,https://www.youtube.com/watch?v=FnFmkaH8Lvw,,48,2262,38,0
Control Blood Pressure with a Balanced Diet Today,jMBmW-QrEPE,Baridi Health,2025-03-31T16:02:27Z,https://www.youtube.com/watch?v=jMBmW-QrEPE,"Discover how our diet directly affects blood pressure. We explore the importance of incorporating fruits, vegetables, whole grains, ...",31,368,2,0
TOP 10 Amazing Facts About FOODS 🍇🍉🍍#health #facts #healthy  #food #didyouknow #healthtips,jEW7rM8QFio,FACTER OFFICIAL ,2025-03-31T15:56:07Z,https://www.youtube.com/watch?v=jEW7rM8QFio,TOP 10 Amazing Facts About FOODS #health #facts #healthy #food #didyouknow #healthtips #healthylifestyle #healthyfood ...,50,5608,0,0
Healthy breakfast in 10 mins! #10minsrecipe #healthybreakfast #quickrecipe #diet #explore #food,8saKbZMmDL4,Life of Ameesha,2025-03-31T15:44:43Z,https://www.youtube.com/watch?v=8saKbZMmDL4,,31,8302,36,1
we should eat healthy food 🥗🍚 #shorts #ronaldo #georgina #usa #unitedstates,zeUyuDJpqIU,Doodlix Animation,2025-03-31T15:43:03Z,https://www.youtube.com/watch?v=zeUyuDJpqIU,,29,31121,427,0
KITCHEN DOS AND DONTS #recipe #food #healthy #viral #trending #chef #dinner #lunch #ramadan,WesodwtyQjA,Chefs Door ,2025-03-31T14:41:57Z,https://www.youtube.com/watch?v=WesodwtyQjA,,45,46477,0,20
Top 5  Cheapest Protein  Food #healthytips #healthiswealth #healthy #health,7V41lCjem0Q,Healty tips,2025-03-31T14:35:46Z,https://www.youtube.com/watch?v=7V41lCjem0Q,Top 5 Cheapest Protein Food #healthytips #healthiswealth #healthy #health.,56,18412,971,0
How to Hack your Happy Hormones! Balanced Diet for Hormonal Health | 💪🍽️🌸,r_z8nVTcv_0,The Nourish Code,2025-03-31T14:30:23Z,https://www.youtube.com/watch?v=r_z8nVTcv_0,"Want to balance your hormones naturally? Struggling with mood swings, irregular periods, or low energy? It all starts with your ...",54,18,2,0
Healthy vegetable Juice#Short#Recipe#Drink,j5Z_k6YiKvg,DAILY  COOKING,2025-03-31T13:40:25Z,https://www.youtube.com/watch?v=j5Z_k6YiKvg,Healthy vegetable Juice#Short#Recipe#Drink Healthy vegetable juice recipe Healthy food Village Food ￼ village cooking Juice ...,39,26106,294,4
best time for having your meals #shorts #viralvideo #trending,TIpjDj7jSQA,Divyanshi Khana Vlogs ,2025-03-31T12:37:33Z,https://www.youtube.com/watch?v=TIpjDj7jSQA,This video makes you aware about the time fir having your days meals. so for a healthy life try to follow . if you like the video ...,53,837,53,5
