Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Pharmaceutical Marketing: Are We Going Too Far? #rfkjr #bigpharma #marketing #hctalk,G6X1gRlLkaI,HCTALK,2025-03-31T21:53:57Z,https://www.youtube.com/watch?v=G6X1gRlLkaI,but he's a little bit extreme in my book he's trying to ban i just read a report here recently while we're doing this but when do you ...,41,292,2,0
Joe Rogan on The Dark Past of Big Pharma,-GLt6lk7H4o,The Peterson Perspective,2025-03-31T21:45:00Z,https://www.youtube.com/watch?v=-GLt6lk7H4o,Like and Subscribe For More Content.,35,296,10,5
BIG PHARMA LOVES YOU ? #akathisia #floxing #bind #MEDICALGASLIGHTING,U1tTE5vbWzw,Aka Lucinda,2025-03-31T20:06:25Z,https://www.youtube.com/watch?v=U1tTE5vbWzw,,47,236,2,1
“Big Pharma’s Darkest Secrets: A History of War and Profit”,C2d9fmHkero,VibeCast,2025-03-31T19:26:50Z,https://www.youtube.com/watch?v=C2d9fmHkero,viralhog @joerogan.,43,198,2,0
Where is Big Pharma when it faces a real existential threat?,bXlszFg6cZM,The Bulwark,2025-03-31T18:46:23Z,https://www.youtube.com/watch?v=bXlszFg6cZM,"Whenever the topic of having the government negotiate drug prices came up, the pharmaceutical industry...made its opinion on ...",43,11729,894,14
Relying less on big pharma & supermarkets,XyR2HWPha_A,GrowerKerry ,2025-03-31T18:06:01Z,https://www.youtube.com/watch?v=XyR2HWPha_A,Relying on supermarkets and big pharmaceutical companies can make you dependent on a system that prioritizes profit over your ...,17,1647,27,0
Big Pharma Hid This From You!,sck27BMjnXg,Rogan’s Universe,2025-03-31T16:01:15Z,https://www.youtube.com/watch?v=sck27BMjnXg,"Joe Rogan sits down with [Guest Name] to discuss [Main Topic], diving deep into [related topics like AI, UFC, Elon Musk, comedy, ...",,,,
The War On Drugs And The Rise Of Big Pharma A Historical Perspective,dwMsRF1G_Vg,NASP,2025-03-31T09:00:23Z,https://www.youtube.com/watch?v=dwMsRF1G_Vg,"Did the War on Drugs inadvertently fuel the rise of Big Pharma? In this video, we explore how the 1980s War on Drugs, under ...",42,237,0,0
The Hidden Hand of Big Pharma: Manipulating News and Your Health,s2V6eQVYkws,Natural Health Insights,2025-03-31T07:24:03Z,https://www.youtube.com/watch?v=s2V6eQVYkws,Discover the shocking truth about how pharmaceutical companies influence the media and shape your health narratives.,,,,
Big Pharma Spent More On Marketing Than Research During COVID,jQ-i6awKjqg,The Unusual Suspects,2025-03-30T22:00:36Z,https://www.youtube.com/watch?v=jQ-i6awKjqg,Read Our Writer's amazing Articles at: https://valuetainment.com/ Visit our website: https://valuetainment.com/ Subscribe to our ...,38,1760,184,9
