Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Lose weight quickly with cabbage soup #cabbagesoupdiet #weightlose #quick,PsFhY2dEYEY,Bailey Wright,2025-03-31T03:00:19Z,https://www.youtube.com/watch?v=PsFhY2dEYEY,cabbagesoupdiet #weightlose #quick #diet #vegetables #showtime #fok.,39,1229,10,0
"cabbage recipes, cabbage soup, cabbage rolls, cabbage soup diet, cabbage, cabbage soup recipes, cab",pt-p1GzJ8Tc,Vaarahi farm ,2025-03-24T12:17:43Z,https://www.youtube.com/watch?v=pt-p1GzJ8Tc,"cabbage recipes, cabbage soup, cabbage rolls, cabbage soup diet, cabbage, cabbage soup recipes, cabbage and egg recipes, ...",26,159,4,0
The Cabbage Soup Diet was a SUCCESS! #shorts #fypyoutube,gQiS2gaTGHs,Ashley Badman,2025-03-20T18:51:47Z,https://www.youtube.com/watch?v=gQiS2gaTGHs,"My #waisttraining is helping my waist become more and more #snatched You have to try these simple, yet #yummy #cabbage ...",16,212,5,0
#cabbagesoup #summerbodygoals #diet,28UWHAAhyzA,Michelle Shanae',2025-03-18T17:23:32Z,https://www.youtube.com/watch?v=28UWHAAhyzA,,61,167,5,2
Forget the cabbage soup diet—eat light with this bottle gourd sabji.,IjsCJm4ugf8,Sarina Kamini - The Spirit of Spice,2025-03-17T21:49:30Z,https://www.youtube.com/watch?v=IjsCJm4ugf8,https://www.youtube.com/watch?v=hFxxM__z-ZE #bottlegourd #sabji #sabzi #sarinakamini #whatwecallmasala.,53,453,4,0
CABBAGE SOUP DIET 🥗/#health #food #dietician #nutrition #fitness #facts #protein,aQC9NlDOYjI,Tanish chouhan ,2025-03-16T11:30:01Z,https://www.youtube.com/watch?v=aQC9NlDOYjI,Different types of FAD diets  /cabbage soup diet/#health #food #dietician #nutrition #fitness #facts #protein.,52,13,0,0
Diet Soup #cabbagesoup #dietrecipe #weightlossjourney #weightlossmotivation #challengeaccepted #reel,WkYErqpM5uA,Anbale Alagagum Veedu,2025-03-04T03:58:44Z,https://www.youtube.com/watch?v=WkYErqpM5uA,,55,130,12,1
Ever tried the  Cabbage Soup Diet ? Here’s a yummy Cabbage Soup Recipe!,XpoE0qtsSiA,Tottie Vision,2025-03-02T03:11:45Z,https://www.youtube.com/watch?v=XpoE0qtsSiA,,167,181,2,0
Cabbage soup detox: quick & healthy veggie recipe #recipe #cabbage #diet,HxNl-uw1Jj4,Rashidul Islam,2025-03-01T18:45:01Z,https://www.youtube.com/watch?v=HxNl-uw1Jj4,"Cabbage soup detox: quick, meat-free, and butter-light #recipe #cabbage #diet #healthyrecipes.",22,29,1,0
3 day Cabbage soup diet | Trying Fade Diets to see if I get Results,zmq_LnN6fqo,Aprils Journey ,2025-03-01T17:01:10Z,https://www.youtube.com/watch?v=zmq_LnN6fqo,aprilsjourney #diettrends2025 #wegovyexperience #wegovyresults #wegovytransformation #wegovyweightloss.,213,18,0,1
Crazy Cabbage Soup Diet Experience!,F7UgoDDV7vA,Health Hacks & Wine Racks,2025-03-01T15:10:29Z,https://www.youtube.com/watch?v=F7UgoDDV7vA,Join our discussion on popular diets! We share hilarious and insightful experiences with the cabbage soup diet and other ...,25,663,4,0
CABBAGE SOUP DIET,0G_dI88xWAw,MARS GAMBOA,2025-02-23T08:41:13Z,https://www.youtube.com/watch?v=0G_dI88xWAw,"Welcome To My Channel MARS GAMBOA!!! Please Don't Forget To Like,Put Comment ,Share,SUBSCRIBE,and Click the BELL ...",93,26,3,6
Loss Weight 10 kg with cabbage soup.,K5cv1AAOQfo,INDIAN ANCIENT,2025-02-18T15:59:46Z,https://www.youtube.com/watch?v=K5cv1AAOQfo,shorts #trending #youtubeshorts Loss Weight 10 kg with cabbage soup. So friends I hope this video helped you a lot If you like ...,,,,
7 Day Menu for Cabbage Soup Diet! Enjoy all 7Days! #7daydiet #dietmenu #soupdiet,ECHK4Ar5pGw,Kathy's kitchen. Simple and delicious.,2025-02-18T11:00:17Z,https://www.youtube.com/watch?v=ECHK4Ar5pGw,Day by Day Menu for Cabbage Soup Diet! Enjoy all 7 days!! Make a Cabbage Soup Smoothie for your breakfasts; eat the soup as ...,162,63,7,4
CABBAGE SOUP DIET #cabbagesoup #weightloss #loseweight #loseweightfast #healthy #diet #fyp #explore,q3qi8Vc1LoM,Ashley Badman,2025-02-13T20:11:05Z,https://www.youtube.com/watch?v=q3qi8Vc1LoM,,150,424,3,0
Cabbage Soup Detox  #cabbage #cabbagesoup #detox #weightloss #soup #souprecipe #recommended,jLFADES6Xvk,Ikeriya Porter,2025-02-09T22:48:41Z,https://www.youtube.com/watch?v=jLFADES6Xvk,,56,520,12,2
Quick Weight Loss With Cabbage Soup Diet,CbkD2s8fw2A,The Rock Motivational Muscle ,2025-02-07T08:00:11Z,https://www.youtube.com/watch?v=CbkD2s8fw2A,"Tired of falling for fad diets that don't work? It's time to start your weight loss journey the right way! In this video, I'll walk you ...",49,16,2,0
When you try that new Cabbage Soup Diet 🎤😂  Angelo Tsarouchas #lol #funny #comedy #life #shorts,p7Kng3nhGj0,laugh out loud flix,2025-02-06T19:00:39Z,https://www.youtube.com/watch?v=p7Kng3nhGj0,Angelo Tsarouchas - The Cabbage Soup Diet ...Fail Angelo Tsarouchas #lol #funny #comedy #life #facts #viral #shorts ...,61,67654,2456,17
Detox Cabbage Soup for Weight Loss | Quick Weight Loss with Cabbage Soup-Weightloss Soup,MYxeDK_muMQ,Fav. Indianfood,2025-02-06T04:06:48Z,https://www.youtube.com/watch?v=MYxeDK_muMQ,"Hi Friends!! Today I am sharing with you Very healthy cabbage soup recipe If u liked the video,give it a Thumbsup and ...",233,1323,141,9
Extreme Cabbage Soup Diet Challenge: 7 Days of Cabbage Soup #shorts #cabbage #diet,DpswL1QFuZQ,Livegood Life1,2025-02-03T18:00:07Z,https://www.youtube.com/watch?v=DpswL1QFuZQ,cabbage #diet Are you tired of trying fad diets that don't work? Want to lose 10 pounds fast and get back in shape? Look no further ...,45,225,5,1
Cabbage Soup Diet: A Delicious Way to Shed Pounds Quickly!,rT_qFZDq-ws,Dellycious Food,2025-01-31T19:49:47Z,https://www.youtube.com/watch?v=rT_qFZDq-ws,,21,16,1,0
Easy & Quick Weight Loss With Cabbage Soup Diet. Weight Loss Cabbage Soup Recipe. Weight Loss Recipe,6FX77_sI-TM,NEHA'S FREESTYLE,2025-01-31T06:00:51Z,https://www.youtube.com/watch?v=6FX77_sI-TM,Easy & Quick Weight Loss With Cabbage Soup Diet. Weight Loss Cabbage Soup Recipe. Weight Loss Recipe Cabbage Soup for ...,226,8984,0,4
I think it’s time for another cabbage soup diet! #cabbagesoup #caloriedeficit #mealprep #detox,gYvTtMZJjRY,B.Cache🎀,2025-01-29T08:00:36Z,https://www.youtube.com/watch?v=gYvTtMZJjRY,,42,548,10,0
cabbage soup recipe | vegetable soup with cabbage | cabbage soup diet,ZTXI1daUYMI,VincyVibes,2025-01-26T01:00:28Z,https://www.youtube.com/watch?v=ZTXI1daUYMI,cabbage soup recipe | vegetable soup with cabbage | cabbage soup diet #CabbageSoupRecipe #VegetableSoupWithCabbage ...,58,22,1,1
Cabbage Soup Recipe.Lets loose weight.#cabbagesoup#cabbagesouprecipe#soupforweightloss,9go0DdZc6XA,Recipe_channel,2025-01-22T07:56:54Z,https://www.youtube.com/watch?v=9go0DdZc6XA,,25,535,12,0
Why Cabbage Soup Is Great for Losing Weight #fatloss #weightloss #healthyfood,z4oyPIpbJss,Healthy Hive,2025-01-21T20:50:33Z,https://www.youtube.com/watch?v=z4oyPIpbJss,"Discover why cabbage soup is the ultimate go-to for weight loss! Packed with nutrients, low in calories, and easy to prepare, this ...",40,448,8,0
The cabbage soup diet and gut health,BuLjnkFV-r0,The Healthy Spot,2025-01-21T18:34:06Z,https://www.youtube.com/watch?v=BuLjnkFV-r0,The cabbage soup diet and gut health. The best meal to heal your gut is cabbage soup! Try the cabbage soup diet if your gut is ...,61,23361,794,19
The Cabbage Soup Diet: Can This Trendy Soup Help You Lose Weight?,fVNUBZVtTxk,Kim’s Homemade Cooking ,2025-01-19T23:00:35Z,https://www.youtube.com/watch?v=fVNUBZVtTxk,This soup this is not only refreshing but also beneficial for your stomach and health! Lose weight as well This soup is a feast for ...,215,5609,18,0
