Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
My current fav when I’m craving a burger! #weightloss #healthyrecipes #caloriedeficit #recipe,m-nJHm4m658,Ingy Theresa,2025-03-31T23:34:19Z,https://www.youtube.com/watch?v=m-nJHm4m658,,18,36922,1868,26
Calorie deficit for fat loss #fatloss #weightloss,wi1iwrfFYmE,lxKat,2025-03-31T20:52:08Z,https://www.youtube.com/watch?v=wi1iwrfFYmE,,47,7788,183,7
😭Your choice really matters when weight loss! #calories #caloriedeficit #weightloss #diet,Y73ZbnBliAY,CaloScanAI,2025-03-31T18:06:20Z,https://www.youtube.com/watch?v=Y73ZbnBliAY,,19,484902,4267,24
Why You Are NOT Losing Weight In A Calorie Deficit (Sorry) 😬 #weightloss #caloriedeficit #diet,_ocgzMRNE2g,Jonathan Clarke,2025-03-31T16:50:58Z,https://www.youtube.com/watch?v=_ocgzMRNE2g,,95,72268,3269,61
Calorie deficit mistakes to avoid pt. 4/5 #caloriedeficit #macrotracking #nutritiontips,DQZTrO8gnrI,April Hamilton,2025-03-31T16:20:11Z,https://www.youtube.com/watch?v=DQZTrO8gnrI,,43,935,0,2
love Aldi’s prices #aldi #groceryshopping #groceryhaul #caloriedeficit #weightloss,HLS55s2-KOM,jillyyyannn,2025-03-31T15:00:23Z,https://www.youtube.com/watch?v=HLS55s2-KOM,,24,3601,28,0
Does a Calorie Deficit REALLY Work For Weight Loss?,7lMhKarO8RY,Total Fitness Bodybuilding,2025-03-31T13:53:57Z,https://www.youtube.com/watch?v=7lMhKarO8RY,"Are you tired of trying every fad diet, only to see minimal results? One of the most common weight loss strategies that all diets ...",131,1185,29,5
"Struggling to hit your protein while in a calorie deficit? Don’t worry, that’s what I’m here for",nI4WAhOz0AI,Hannah Hammes,2025-03-31T01:55:21Z,https://www.youtube.com/watch?v=nI4WAhOz0AI,"Struggling to hit your protein while in a calorie deficit? Don't worry, that's what I'm here for ‍♀️ Here's exactly how I hit 140g ...",8,6239,17,0
This was all done with a calorie deficit and moving my body 🫶 #weightloss #caloriedeficit #fyp,Rc_O7BZuP9A,TinaBogey,2025-03-31T01:54:45Z,https://www.youtube.com/watch?v=Rc_O7BZuP9A,,40,26116,1166,38
What I ate today on a calorie deficit! #diet #healthylifestyle,Y_XD0vwStvA,It’s BK!,2025-03-30T22:33:07Z,https://www.youtube.com/watch?v=Y_XD0vwStvA,,110,1122,25,3
love a good salad! #weightloss #recipe #healthyrecipes #caloriedeficit #easyrecipe,vPr8SG9bXEM,Ingy Theresa,2025-03-30T21:35:08Z,https://www.youtube.com/watch?v=vPr8SG9bXEM,,15,25994,719,6
Calorie Deficit Hacks when you’re hungry & cravings are high 🚀,kTcEbuKFs8I,Daniel Chan,2025-03-30T21:14:43Z,https://www.youtube.com/watch?v=kTcEbuKFs8I,https://transcendentphenomsllc.com/food-swaps-for-fat-loss415402.,78,860,46,3
What I eat for breakfast to stay in a caloric deficit #weightloss,9Xrb_AY1Wyo,Karen Wade,2025-03-30T18:08:15Z,https://www.youtube.com/watch?v=9Xrb_AY1Wyo,,18,10980,263,3
What a Fat Girl Eats in a Calorie Deficit! (Fat Loss Coach Reacts) #fitness,zdB4dGm_lTg,Nico Shinas ,2025-03-30T17:31:52Z,https://www.youtube.com/watch?v=zdB4dGm_lTg,,71,230437,10880,106
Down 40 lbs in 3 months and deep in my calorie deficit era.,YCywEBucN1w,Bella Rose,2025-03-30T17:30:01Z,https://www.youtube.com/watch?v=YCywEBucN1w,,10,8339,34,0
what I eat in a day in a calorie deficit 😋 #caloriedeficit #fdoe #wieiad,aPY8PgUv7DA,Natyyhere,2025-03-30T16:00:01Z,https://www.youtube.com/watch?v=aPY8PgUv7DA,,54,1670,39,2
