Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
"Survivors, advocates, and lawmakers are coming together for breast cancer awareness",0bRMMKgRKWc,WRTV Indianapolis,2025-03-31T10:04:55Z,https://www.youtube.com/watch?v=0bRMMKgRKWc,"Survivors, advocates, and lawmakers are coming together for breast cancer awareness.",111,113,9,1
Tobacco & Cancer: The Deadly Connection  | Dr. Veenoo Agarwal – Medical Oncologist,ylX5uLt_h48,Cancer Cure Talks,2025-03-31T09:29:36Z,https://www.youtube.com/watch?v=ylX5uLt_h48,cancerprevention #cancerawareness #cancer #cancersurvivor #cancersupport #cancertreatment #cancerresearch #cancercare ...,89,233,1,0
Tutu Triumph: Bob's tutu antics for cancer awareness! #cancerawareness  #charityrace  #funnystory,Mj3p8yW3E7Y,MsB47,2025-03-30T12:18:21Z,https://www.youtube.com/watch?v=Mj3p8yW3E7Y,,43,471,7,0
26/31 10k a day for colon cancer awareness month 🩵💙 #runner #cancerawareness #coloncancer,V6RAZPtz30o,Laura-Jean Bainbridge,2025-03-29T21:53:20Z,https://www.youtube.com/watch?v=V6RAZPtz30o,,36,527,27,2
March is Colorectal Cancer Awareness Month; it's the third most common cancer in the U.S..,woQs14c_xHU,NBC Connecticut,2025-03-29T17:29:14Z,https://www.youtube.com/watch?v=woQs14c_xHU,In the lasts two decades colon cancer has moved up from being the fourth leading cause of cancer death in people under 50 -- to ...,84,138,1,0
Colon cancer awareness Part 1 by Dr Jivraj Mehta Hospital,YZyqOnYHe1E,Dr. Jivraj Mehta Smarak Health Foundation,2025-03-29T09:14:56Z,https://www.youtube.com/watch?v=YZyqOnYHe1E,"Colon cancer is one of the 10 most common cancers in India, yet its early symptoms often go unnoticed. Recognizing these ...",70,117,5,0
Round 3 #cancerawareness #cancerjourney,D9h3TP9erWI,Life with Tashanna🥰,2025-03-28T18:38:27Z,https://www.youtube.com/watch?v=D9h3TP9erWI,,22,892,115,47
"Runner honors mom in Cooper River Bridge Run, raising cancer awareness with each step",SK86-mJ4wzk,ABC News 4,2025-03-28T16:00:36Z,https://www.youtube.com/watch?v=SK86-mJ4wzk,"CHARLESTON, S.C. (WCIV) — As the Cooper River Bridge Run nears, excitement is building across Charleston. Thousands of ...",157,147,0,0
Lavender Lehenga for Cancer Awareness 💜 #shorts #grwm #fashion,fNUArkDNAc8,Tahlia Suraj,2025-03-28T12:30:43Z,https://www.youtube.com/watch?v=fNUArkDNAc8,"A single moment can change everything. Let's talk about early cancer detection. Cancer doesn't always come with a warning, but ...",15,58465,979,11
Colon Cancer Awareness Month,AGrwmNld4OM,KTVN 2 News Nevada,2025-03-28T06:36:17Z,https://www.youtube.com/watch?v=AGrwmNld4OM,Natalie Brand has the story of a young woman who is trying to raise awareness about the importance of early detection.,126,32,0,0
