Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Prevent Colon Cancer: When Should You Start Screening?,y3XhjmoCjuI,Dr. Jessie Virga,2025-03-31T23:56:32Z,https://www.youtube.com/watch?v=y3XhjmoCjuI,ColonCancer #CancerAwareness #HealthScreening #PreventiveCare #EarlyDetection #CancerPrevention #FamilyHistory ...,52,2457,14,1
Fruits to Eat for Cancer Prevention and Cellular Protection,jdym8wbOVjE,Todicamp - Health Explained,2025-03-31T20:30:04Z,https://www.youtube.com/watch?v=jdym8wbOVjE,Cancer isn't just about genetics—lifestyle and nutrition play a huge role in reducing risk. Certain fruits contain bioactive ...,42,184,14,0
Colonoscopy: the gold standard of colon cancer prevention,rvaZE-86lTE,The Crohn's & Colitis Dietitians,2025-03-31T16:51:48Z,https://www.youtube.com/watch?v=rvaZE-86lTE,"In this Gut Feelings podcast episode, we had the honor to speak with Dr. Vivian Asamoah, a gastroenterologist and the founder ...",39,1458,17,0
Lung Cancer Myths Part 1: Puffing Out the Truth,28Hju16DN6k,MedMindLab,2025-03-31T14:17:39Z,https://www.youtube.com/watch?v=28Hju16DN6k,"Puff, Puff, Unpack Debunking Smoke and Mirrors of Lung Cancer Myths Can non-smokers get lung cancer? This video ...",52,37,1,0
Breast cancer prevention tips #breastcancer #shorts #youtubeshorts #hit3 #female #trending #healthy,cPBa9DuuYtQ,Glow and Bloom,2025-03-31T11:44:00Z,https://www.youtube.com/watch?v=cPBa9DuuYtQ,Breast cancer prevention tips #breastcancer #shorts #youtubeshorts #hit3 #female #trending #healthy #healthtips #cancercare.,9,383,5,0
🤩Cancer Prevention-க்கு இத விட easy வழி இல்ல -  Dr. Subha charles #cancerprevention #shorts,xSczjG2z3LY,Doctor Vikatan,2025-03-31T05:45:26Z,https://www.youtube.com/watch?v=xSczjG2z3LY,autophagy #fasting #shortsviral Cancer Prevention-க்கு இத விட easy வழி இல்ல - Dr. Subha charles ...,98,19220,346,1
What Is The Role Of Antioxidants In Cancer Prevention? - Oncology Support Network,owA9atk6PEI,Oncology Support Network,2025-03-30T16:01:24Z,https://www.youtube.com/watch?v=owA9atk6PEI,"What Is The Role Of Antioxidants In Cancer Prevention? In this informative video, we will discuss the role of antioxidants in cancer ...",181,25,2,0
"Can Berries, Flax, Chia & Hemp Seeds Help with Cancer Prevention? #shorts",lZ2EU9LDhOc,Dr. Fuhrman,2025-03-30T12:00:55Z,https://www.youtube.com/watch?v=lZ2EU9LDhOc,"A small amount of seeds and berries every day can make a big difference for your health! Here's why. Join my free, 5-day ...",63,4166,332,11
Amla Berry Benefits: The Ayurvedic Superfood for Immunity and Cancer Prevention,Y9d944AOsuU,Dr. Manjiri Nadkarni,2025-03-30T11:00:41Z,https://www.youtube.com/watch?v=Y9d944AOsuU,"Want to build a rock-solid immune system and fight off cancer? Discover the amazing benefits of Amla berry, the Ayurvedic ...",54,216,6,0
Shield Your Skin: The Truth About Sunscreen & Skin Cancer Prevention!,m_PFX0Wdzvc,Subha Doha,2025-03-30T03:43:24Z,https://www.youtube.com/watch?v=m_PFX0Wdzvc,,,,,
The Key to Cancer Prevention and Recovery,ZZsqrY8i0v0,Dr. Vikki Petersen,2025-03-30T02:30:31Z,https://www.youtube.com/watch?v=ZZsqrY8i0v0,Discover how regular exercise can significantly improve cancer outcomes and enhance overall health. We explore the incredible ...,32,228,8,0
"Lung Cancer: Understanding Symptoms, Treatment, and Prevention #lungcancer #cancercure",U1I76xpHqOU,CancerFax - Conquering cancer,2025-03-30T01:30:17Z,https://www.youtube.com/watch?v=U1I76xpHqOU,"shorts Lung cancer remains one of the most prevalent and deadly cancers worldwide, but with advances in detection and ...",55,19,0,0
COLON CANCER SYMTOMS!!,q6nBn62Q-UQ,HealthVita,2025-03-29T12:11:54Z,https://www.youtube.com/watch?v=q6nBn62Q-UQ,Colon cancer is one of the most common and deadliest cancers worldwide. What makes it especially dangerous is that its early ...,22,652,4,1
Lamprey The Cancer Prevention Fish 🐠 #shorts #subscribe #facts #fish,kzOQDb4cFkI,Pango Journey ,2025-03-29T03:00:42Z,https://www.youtube.com/watch?v=kzOQDb4cFkI,,59,0,0,0
