Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Is The Carnivore Diet EXPENSIVE?,JtH-hEfxFxY,Anthony Chaffee MD,2025-03-31T21:15:17Z,https://www.youtube.com/watch?v=JtH-hEfxFxY,,35,81200,2983,141
"How the Carnivore Diet Cured My IBS, Anxiety, and Depression",qCfgv9zwu-g,Norse Carnivore,2025-03-31T20:35:55Z,https://www.youtube.com/watch?v=qCfgv9zwu-g,"I felt like a prisoner in my own body. IBS, anxiety, depression—it controlled everything. No energy. No confidence. No life.",21,100,4,0
Meal 3 Sardine & Egg Metabolic Reset | Keto & Carnivore Diet Recipe,PgNlWtLPxqg,Ketogenic Woman,2025-03-31T20:00:12Z,https://www.youtube.com/watch?v=PgNlWtLPxqg,Meal 3 Sardine & Egg Metabolic Reset | Keto & Carnivore Diet Recipe Watch full 3 days of Sardine and Egg metabolic reset video ...,16,5324,194,5
Kelly Hogan's friend isn't on the CARNIVORE diet #carnivore #keto,yKVmDrbKJhc,Carnism Is Cancer,2025-03-31T19:22:33Z,https://www.youtube.com/watch?v=yKVmDrbKJhc,,74,494,0,0
Carnivore Diet is Insane #standupcomedy,xsq-EpSljDM,Christophe Jean,2025-03-31T18:51:40Z,https://www.youtube.com/watch?v=xsq-EpSljDM,,44,28845,505,23
Mother’s Day on Carnivore 🥩💐#carnivorediet #carnivore #mothersday #meat,MUAWgj7hEOc,Coach Carnivore Cam,2025-03-31T18:06:57Z,https://www.youtube.com/watch?v=MUAWgj7hEOc,,49,185312,2934,189
Day 86 on the CARNIVORE DIET 🥩🍖🥓 #carnivore #diet #mukbang #food #vlog #shorts,2iYWU-89yMQ,Alex Murphy,2025-03-31T17:48:31Z,https://www.youtube.com/watch?v=2iYWU-89yMQ,,63,3095,85,2
Carnivore Diet: #1 Protein Mistake,sTydfoysB9I,Go Carnivore,2025-03-31T13:01:12Z,https://www.youtube.com/watch?v=sTydfoysB9I,"The ultimate protein episode: how much protein you need, ideal timing, and quality of protein. Get 40% storewide on the Primal ...",38,5624,111,2
Do You Have To Fast On a Carnivore Diet?,g79jYvbUoOc,KenDBerryMD,2025-03-31T12:30:33Z,https://www.youtube.com/watch?v=g79jYvbUoOc,Do You Have To Fast On a Carnivore Diet?,26,170609,6634,173
Exploring the Carnivore Diet Quick Benefits vs  Long Term Effects #carnivore,uRPAwxvZlDk,Dr. Shawn Baker Podcast,2025-03-31T03:00:50Z,https://www.youtube.com/watch?v=uRPAwxvZlDk,Join Revero now to regain your health: https://revero.com/YT Revero.com is an online medical clinic for treating chronic diseases ...,30,2717,152,7
