Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
9 Signs of Kidney Stones You Shouldn’t Ignore | How to Know If You Have Kidney Stones,VMESCJZuKrw,Medinaz,2025-03-17T06:31:26Z,https://www.youtube.com/watch?v=VMESCJZuKrw,9 Signs of Kidney Stones You Shouldn't Ignore | How to Know If You Have Kidney Stones Signs of Kidney Stones: Symptoms You ...,6,,,
Kidney stone diet | What diet to take in kidney stone | Does less calcium is required for Stones,iqUNo8FpkjM,Cure Stone by Dr Deepanshu Gupta ,2025-03-18T02:40:00Z,https://www.youtube.com/watch?v=iqUNo8FpkjM,,56,,,
Reiki to clear negative self-talk. Asmr selenite crystal healing,BorDGQov0M8,Empowered Crystals,2025-03-25T05:09:58Z,https://www.youtube.com/watch?v=BorDGQov0M8,Reiki and selenite crystal healing to clear negative self-talk. Use these relaxing asmr videos as a daily meditation to focus on ...,21,,,
Crystal for cleaning Negative energy | Dr. Jayashree on Body to Beiing | Shlloka,467Y4A2Xbxg,SHLLOKA ,2025-03-08T05:30:01Z,https://www.youtube.com/watch?v=467Y4A2Xbxg,,60,,,
Everyone on meds NEEDS this on hand! 😌 #health #healthcare #healthtips #medicine #supplements,9yCIGYDJZnY,HandyPill,2025-01-22T21:49:02Z,https://www.youtube.com/watch?v=9yCIGYDJZnY,,9,,,
Reiki for everything to work out perfectly. Asmr citrine crystal healing,M_iqfhJ7_JY,Empowered Crystals,2025-02-09T05:52:03Z,https://www.youtube.com/watch?v=M_iqfhJ7_JY,reiki and citrine crystal healing for everything to work out perfectly. use these relaxing asmr videos as a daily meditation to focus ...,29,,,
"Prehnite crystal healing for removing brain fog, fears & disease energy. Reiki asmr",It87L-YQp4U,Empowered Crystals,2025-01-08T06:01:32Z,https://www.youtube.com/watch?v=It87L-YQp4U,"Reiki and prehnite crystal healing to remove brain fog, fear and disease energy. use these relaxing asmr videos as a daily ...",32,,,
Reiki to remove what is holding you back. Asmr black obsidian crystal healing,xKzIl_icHpg,Empowered Crystals,2025-01-04T05:02:59Z,https://www.youtube.com/watch?v=xKzIl_icHpg,reiki and black obsidian crystal healing to remove what's holding you back. use these relaxing asmr videos as a daily meditation ...,22,,,
Protect yourself from EMF with shungite crystal discs.  Avaialble on my store- link in bio #crystals,EynnT2Lbf08,chillinwithcrystals,2025-03-26T02:39:46Z,https://www.youtube.com/watch?v=EynnT2Lbf08,,65,,,
Cutting negative cords from last year 2024. Reiki asmr black tourmaline crystal healing,fvtTtEzCtqU,Empowered Crystals,2025-01-27T03:02:37Z,https://www.youtube.com/watch?v=fvtTtEzCtqU,reiki and black tourmaline crystal healing to cut negative cords from the previous year 2024. use these relaxing asmr videos as a ...,59,,,
Let’s talk about delusions,kY2zSsOpOJs,SchizophrenicNYC,2025-01-18T21:59:49Z,https://www.youtube.com/watch?v=kY2zSsOpOJs,Let's talk about delusions Q&A with Michelle Hammer the founder of Schizophrenic.NYC. The most awesome clothing and lifestyle ...,45,,,
🧿 Instant Jealousy Eyes Removal ☃️#reikihealing #spiritualhealing,bk8oo9_VvG8,XynthiaGlow,2025-03-08T13:47:45Z,https://www.youtube.com/watch?v=bk8oo9_VvG8,,60,,,
Reiki and Bilateral Stimulation for Fast Anxiety Relief #reikiasmr #anxiety relief iety,CbNod9Tpgoc,Mindful Frequency,2025-01-15T19:15:00Z,https://www.youtube.com/watch?v=CbNod9Tpgoc,,46,,,
Chakra Activation & Energy Healing: Quick Cleanse ✨ #healing #shorts,ziotEHVF6-0,Amy Aligned,2025-01-08T23:00:49Z,https://www.youtube.com/watch?v=ziotEHVF6-0,Chakra Activation & Energy Healing: Quick Cleanse #healing #shorts Welcome to Chakra Activation & Energy Healing!,65,,,
She never realised how important it was.... 🥺 #health #healthcare #healthtips #medicine #supplements,PLBfG_OgztA,HandyPill,2025-01-18T20:18:13Z,https://www.youtube.com/watch?v=PLBfG_OgztA,,11,,,
🧘Harmonize Body’s Energy 🌿#reikiasmr #reikihealing,sbxpWEUMW0k,XynthiaGlow,2025-02-10T19:44:06Z,https://www.youtube.com/watch?v=sbxpWEUMW0k,,61,,,
Instant physical pain removal ✨,OBk8rqF8Wto,XynthiaGlow,2025-02-05T23:06:39Z,https://www.youtube.com/watch?v=OBk8rqF8Wto,,61,,,
3rd Eye Chakra Activation | Intuition Boost Reiki Energy Cleanse & Healing,I4jLVFCSZhM,Glowing Bliss Reiki,2025-02-02T22:08:25Z,https://www.youtube.com/watch?v=I4jLVFCSZhM,Intuition Boost | 3rd Eye Activation [Requested] ❤️❤️❤️ #reiki #energyhealing #reikimaster #thirdeye #thirdeyeopen ...,41,,,
"""What is Pyrite Crystal?"", ""Pyrite Crystal properties"" ""Pyrite Crystal benefits""Pyrite Crystal uses""",2FQXpBaHwB0,Samriddhi Reiki Foundation (SRF),2025-02-20T07:19:20Z,https://www.youtube.com/watch?v=2FQXpBaHwB0,,16,,,
