Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
"Peaceful Sleep In 3 Minutes, Calm Down & Relax 💤 Music for Deep Sleep ✨ Fall Asleep with Hello Kitty",p5aQayVgLhQ,Dreamland Tunes,2025-01-04T08:14:01Z,https://www.youtube.com/watch?v=p5aQayVgLhQ,"Peaceful Sleep In 3 Minutes, Calm Down & Relax Music for Deep Sleep ✨ Fall Asleep with Hello Kitty ✨ Peaceful Sleep in 3 ...",0,,,
"Anxiety Relief Tonight •Beautiful Sleep Music for Rest, Relaxation & Deep Healing• Melatonin Release",NfcMP35vdas,Inner Healing Sleep,2025-02-09T14:34:28Z,https://www.youtube.com/watch?v=NfcMP35vdas,"Anxiety Relief Tonight •Beautiful Sleep Music for Rest, Relaxation & Deep Healing• Melatonin Release Channel: Inner Healing ...",,,,
Soothing Water Sounds 🌙 Sleep Music | Insomnia Relief & Deep Rest,nTU5SOXPvnY,Soulful Streams,2025-03-02T15:08:17Z,https://www.youtube.com/watch?v=nTU5SOXPvnY,Soothing Water Sounds Sleep Music | Insomnia Relief & Deep Rest Relax with the soothing sounds of water and gentle sleep ...,,,,
Sleep Under the Storm – Heavy Rain & Distant Thunder for Deep Rest,LSmQwiFE6Bg,Easy Sounds & Relaxation Channel,2025-03-13T22:07:44Z,https://www.youtube.com/watch?v=LSmQwiFE6Bg,"Immerse yourself in 'Sleep Under the Storm – Heavy Rain & Distant Thunder for Deep Rest,' an expertly crafted audio experience ...",4915523,,,
Sleep Better Tonight: Nighttime Meditation for Deep Rest 🌙 #soothingrelaxeveryday,BZF3vwplbm8,Soothing Relax,2025-02-17T09:00:10Z,https://www.youtube.com/watch?v=BZF3vwplbm8,"Shooting Tibetan Flute Music | Stess Relief, Relaxing Sleep Music #soothingrelaxeveryday Subscribe to the channel soothing ...",57,,,
Healing Psalms with Rain | Soothing Ambience to Rest and Sleep in God's Word,m4rjHZCnpEA,Sufficient Grace,2025-03-23T19:34:24Z,https://www.youtube.com/watch?v=m4rjHZCnpEA,"Let the gentle sound of rain and the comforting words of the Psalms bring you peace, healing, and deep rest. As you lay down to ...",4282619,,,
"Fall Asleep Quickly ★︎ CALMING MUSIC for Deep Rest ★︎ Stop Overthinking, Stress Relief, Sleep Music",gkcsr21e69Y,Soothing Meditation,2025-03-19T07:43:39Z,https://www.youtube.com/watch?v=gkcsr21e69Y,"Fall Asleep Quickly ☆︎ CALMING MUSIC for Deep Rest ☆︎ Stop Overthinking, Stress Relief, Sleep Music Video made by: ...",,,,
Depression = Deep Rest? Jim Carrey's Perspective,oEPUYVU4BP8,Inspire Life,2025-03-21T19:13:11Z,https://www.youtube.com/watch?v=oEPUYVU4BP8,"Depression isn't sadness, it's your body asking for rest. Depression isn't just a mood. It's your body saying it's exhausted from ...",42,,,
Depressed: Your Body Needs Deep Rest | Jim Carrey,BdQWjlPs1PE,Building Something Good,2025-03-28T17:54:54Z,https://www.youtube.com/watch?v=BdQWjlPs1PE,"Jim Carrey shares a powerful perspective on depression, explaining that it's not just sadness but your body's way of asking for ...",46,,,
Deep rest,FzQR8R_lyYs,THE PEARL 더 펄 영어 ,2025-02-25T12:49:48Z,https://www.youtube.com/watch?v=FzQR8R_lyYs,"Deep-rest. 오늘의 표현 ✓depression 우울증, 우울함 “depression is your body saying, fuck you, I don't wanna be this character ...",29,,,
"Depressed as a deep rest, your body needs to be depressed. | Jim Carrey X TIFF Originals",YrIG0M5DHwE,Mindset Activation,2025-03-09T20:06:13Z,https://www.youtube.com/watch?v=YrIG0M5DHwE,"This content doesn't belong to us, it is edited and shared only for the purpose of awareness, and if the content owner ...",35,,,
Jim Carrey Says Depression Is a Sign Your Body Needs Deep Rest #shorts,D3HBn6cXNWk,Kutch Macias,2025-03-20T14:00:14Z,https://www.youtube.com/watch?v=D3HBn6cXNWk,,49,,,
Best Foods for Sleep: Eat This for Deep Rest & Relaxation!  #health #food #sleep,hhgd-jKmjOk,Knowledgecircle,2025-02-16T15:00:49Z,https://www.youtube.com/watch?v=hhgd-jKmjOk,"Struggling with sleep? These powerful foods can help you fall asleep faster, stay asleep longer, and wake up refreshed! From tart ...",22,,,
