Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Bird in deep sleep #shorts #shortsfeed #youtubeshorts,OZPKYX_WAlU,Learn Skills,2025-02-03T07:50:24Z,https://www.youtube.com/watch?v=OZPKYX_WAlU,,20,,,
MUST SEE 😍 Relaxing ASMR for Deep Sleep -ASMR Oily Massage - ASMR - Massage Videos With No Talking,pHJU9OHlyVA,Goes Tiles Hop,2025-03-07T23:05:57Z,https://www.youtube.com/watch?v=pHJU9OHlyVA,Regular HARD MASSAGE for our regular customers | ASMR Full body Massage ASMR | Deep Oil Massage Immerse yourself in a ...,5748654,,,
Sad story...💔 #deepsleep,a021_8XMQ84,Lucas77,2025-03-23T09:03:40Z,https://www.youtube.com/watch?v=a021_8XMQ84,interesting #happy #funnySome interesting videos for you Any footage in this video has only been used tocommunicate a ...,59,,,
4K Relaxing ASMR for Deep Sleep - ASMR Massage Videos With No Talking,RJCFzow3jqk,Magical Hands Masaage Studio,2025-01-14T22:03:00Z,https://www.youtube.com/watch?v=RJCFzow3jqk,"MORE EXCLUSIVE CONTENT       - https://www.patreon.com/c/PerfectBodyASMRMassage In this video, you will watch a very ...",151,,,
How's ASMR oil massage nature sound deep sleep G5 56#asmrsounds #asmrsleep #oilmassage#relax,_07VizhH-eM,CƯỜI MIỄN PHÍ,2025-01-16T09:54:06Z,https://www.youtube.com/watch?v=_07VizhH-eM,How's ASMR oil massage nature sound deep sleep G5 56#asmrsounds #asmrsleep #oilmassage #relax.,85,,,
"Calming Sleep Music 🌙 Stress Relief Music, Insomnia Healing, Heal Mind",uDetEbtLsig,Soulful Streams,2025-02-09T06:09:56Z,https://www.youtube.com/watch?v=uDetEbtLsig,"Calming Sleep Music Stress Relief Music, Insomnia Healing, Heal Mind ✨ Let go of stress, clear your mind, and drift into deep ...",0,,,
Unlock Deep Sleep 🛏️💤,6X8YbVzu2kQ,Amirtham Sangeetha,2025-01-01T12:46:26Z,https://www.youtube.com/watch?v=6X8YbVzu2kQ,Struggling with Sleep? Try These Simple Tips! Follow these tips and wake up feeling refreshed and energized! Share your ...,19,,,
"Rain Sounds for Sleeping - Soothing Rain & Gentle Thunder Relax for Fast Sleep, Remove Insomnia",cvCVycvjC7Y,Rain Sounds For Sleeping - ASMR,2025-01-02T03:45:35Z,https://www.youtube.com/watch?v=cvCVycvjC7Y,https://www.youtube.com/playlist?list=PLBvDxr7QtqBdo2uIKCfNH0mN1NLHct9cg ...,0,,,
4 Mudras For Problem #yoga #deep #sleep #hair #growth #acne #pimple #weight #loss #viralvideo #like,7hLL0xLPJJA,AAP KI CUTIE,2025-03-10T03:32:00Z,https://www.youtube.com/watch?v=7hLL0xLPJJA,4 Mudras For Problem #yoga #deep #sleep #hair #growth #acne #pimple #weight #loss #viralvideo #like #trending #short #shiva ...,7,,,
"Relaxing Music for Relieving Anxiety and Stress 🪻Sleeping Music, Healing Insomnia",TO4CiZXapP0,The Waters of Heaven,2025-02-06T12:30:13Z,https://www.youtube.com/watch?v=TO4CiZXapP0,"Music therapy is effective in controlling blood pressure, relieving stress and brain fatigue, enhancing cancer treatment effects, ...",0,,,
