Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
The Emotional Toll of Diabetes,mSXuyaOLiuk,FreeStyle US,2025-02-04T18:37:55Z,https://www.youtube.com/watch?v=mSXuyaOLiuk,There are millions of people living with diabetes. But did you know that 40% of people with diabetes have skipped or missed a ...,66,,,
#t1d #type1diabetes #diabetes #fashion #sugar #diabetesmanagement #dress #grwm,V2OpzdzzBm8,Khushi Ahuja,2025-03-06T14:30:07Z,https://www.youtube.com/watch?v=V2OpzdzzBm8,,14,,,
Yoga for diabetes / get sugar level in control #yogafordiabetes  #yogamedicine #therapeuticyoga,QC0DVZcjYKM,Yog healing with Urja ,2025-01-20T10:09:35Z,https://www.youtube.com/watch?v=QC0DVZcjYKM,,10,,,
🌾 Diabetes and Rice?,OXebEZzkZWc,Dr. Shilpa Arora,2025-03-29T08:07:46Z,https://www.youtube.com/watch?v=OXebEZzkZWc,"Diabetes and Rice? . Yes, you can enjoy rice with these tips! . Add 1 tbsp of ghee to your rice for three amazing benefits: 1️⃣ No ...",44,,,
2 Tips for Sugar Control in Telugu || Dr. Deepthi Kareti,i7sbWKkuauw,Dr. Deepthi Kareti,2025-01-04T01:30:21Z,https://www.youtube.com/watch?v=i7sbWKkuauw,What is a normal sugar test? Fast blood sugar is below 100 mg/dl Is 200 blood sugar normal after a meal? 200 mg/dl (11.1 mmol/l) ...,29,,,
"Best food for diabetes control, #bloodsugar, #diabetesdiet, #diabetes",4ocvrIpnfpY,Nature Sehat,2025-01-26T05:00:03Z,https://www.youtube.com/watch?v=4ocvrIpnfpY,Best food for diabetes control What foods to avoid with diabetes Type 2 diabetes food list 10 best foods for diabetics Which foods ...,55,,,
தினமும் ஒரு வெற்றிலை செய்யும் அதிசயம் | Sugar control tips in tamil |Diabetes|Doctor interview tamil,VtqByEiLe_4,Doctor Interview,2025-02-15T04:45:31Z,https://www.youtube.com/watch?v=VtqByEiLe_4,bloodsugar #சுகர் #diabetes #doctorinterview #doctorinterviewtamil #drnithyasiddha #diabetesawareness ...,53,,,
"Best breakfast for diabetic patients, #diabetes, #diabetesawareness, #bloodsugar, #diabetes",VNWuZ9PlkGQ,Nature Sehat,2025-03-03T05:00:21Z,https://www.youtube.com/watch?v=VNWuZ9PlkGQ,diabetespatients breakfast Is it okay for a diabetic to skip breakfast? What should diabetics eat first thing in the morning? क्या ...,46,,,
"5 Low-Sugar Foods for Diabetics, 🍏 Healthy Choices for Blood Sugar Control!",j2GKuO5gwDU,Global ASMR,2025-01-31T09:30:19Z,https://www.youtube.com/watch?v=j2GKuO5gwDU,"Looking for low-sugar foods to help manage diabetes? In this video, we'll reveal 5 of the best low-sugar foods that can help ...",,,,
You DON’T need medication or supplements to reverse insulin resistance (diabetes),IjdVMuEtZeY,Kait Malthaner (BSc Nutrition & Exercise),2025-02-13T18:45:00Z,https://www.youtube.com/watch?v=IjdVMuEtZeY,Do you need to take medication or supplements to reverse insulin resistance? Or can it be done naturally?,40,,,
