Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
I cracked the diet code!,6xC-6DoMYz4,Courtney & Alex ,2025-02-24T23:00:05Z,https://www.youtube.com/watch?v=6xC-6DoMYz4,"In this hilarious video, I cracked the diet code by weighing cheetos and counting calories. You won't believe the results - it all adds ...",8,,,
Eating Healthy but NO RESULTS ? #fitness #food #health #nutrition,xRpL6lwEIvw,Vinay Jaisinghani,2025-02-26T12:22:17Z,https://www.youtube.com/watch?v=xRpL6lwEIvw,I am not promoting one food item over other for fatloss but be mindful of the PORTION SIZE of these HEALTHY FOODS you are ...,17,,,
Eating Healthy - But - No Results...  #fitness #food #nutrition #health,y23-6psIFH8,Vinay Jaisinghani,2025-02-06T12:26:06Z,https://www.youtube.com/watch?v=y23-6psIFH8,simple.fitness.tales simple fitness tales.,17,,,
Healthy Food Swaps | Be Wise | #fitness #health #food #nutrition,AwEJyQS1JPk,Vinay Jaisinghani,2025-01-15T12:24:12Z,https://www.youtube.com/watch?v=AwEJyQS1JPk,simple.fitness.tales simple fitness tales.,19,,,
Healthy Food Pairing | Right Way of Plating Meals | #fitness #nutrition #food #healthy,VWe15ugreTE,Vinay Jaisinghani,2025-02-10T13:00:40Z,https://www.youtube.com/watch?v=VWe15ugreTE,"Whole Truth Foods” has the cleanest/ lightest Protein, Peanut Butter and Protein Bars For max discount visit ...",20,,,
Trying Chinese Diet Foods,oH8yl7l2ZSY,Brain Boost,2025-03-14T14:23:39Z,https://www.youtube.com/watch?v=oH8yl7l2ZSY,sub.,49,,,
Day 1 of my Diet !? 🏃‍♂️🏋️‍♂️🥬,X9L4Wp6-idc,Dental Digest,2025-02-24T15:00:50Z,https://www.youtube.com/watch?v=X9L4Wp6-idc,Let's Find Out Which Toothbrush will clean my stained teeth the best !? SHOP HERE: https://fatglob.com Smile On :) #asmr ...,44,,,
Eat food like medicine 💊#shorts #meditation #diet #healthylifestyle #ayurbedic #viralshorts,gy5CWzWTzqU,Nitesh Lifts,2025-03-10T05:28:33Z,https://www.youtube.com/watch?v=gy5CWzWTzqU,,8,,,
Diet course  health! See how I lost from 56kg to 36kg!Diet is a hot topic! #wanyomori #diet #Shorts,am2EtzfWIMo,Wanyo mori,2025-01-16T14:39:29Z,https://www.youtube.com/watch?v=am2EtzfWIMo,,49,,,
Joe Rogan discovers Jordan Peterson's Diet 🥩,4d_r7tbsnNk,WisdomGlory,2025-02-11T19:39:05Z,https://www.youtube.com/watch?v=4d_r7tbsnNk,"Thank you for watching! If you liked this video, don't forget to subscribe for more amazing content! Your support keeps us ...",31,,,
"Diet is going good so far, can’t complain😌 #explore #funny #trending #food  #shortsvideo #fitness",ISdsoY24enc,Marvin Achi,2025-01-17T15:19:57Z,https://www.youtube.com/watch?v=ISdsoY24enc,,17,,,
Diet lifehack. #food #couple #funnycouple #comedy,5WUd6ZTf6Ho,Jenika Family ,2025-03-25T18:09:42Z,https://www.youtube.com/watch?v=5WUd6ZTf6Ho,,90,,,
Wenda Dieting (incredibox sprunki animation) #shorts,yHR4ZXey6bU,DDDDANI 따니,2025-02-02T10:01:04Z,https://www.youtube.com/watch?v=yHR4ZXey6bU,,13,,,
Water vs Diet Coke? #health #tips #sugar #fasterwaytofatloss #fatloss #healthy,IqFRXk-Y5To,Zack Chug,2025-02-17T18:18:00Z,https://www.youtube.com/watch?v=IqFRXk-Y5To,,39,,,
Fat Steve and Alex on DIET and FITNESS???!!! - Alex and Steve Adventures #minecraft #shorts,BYr8IWTeAh4,TrueCraftics,2025-02-26T14:05:19Z,https://www.youtube.com/watch?v=BYr8IWTeAh4,"Skinny Alex is on a diet, and fat Steve wants to eat. This is funny! :) Click like please! Thanks for watching! #minecraftanimation ...",20,,,
