Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Swadhan rahe satark rahe 🙏 | don’t believe blindly  #explore #awareness,OuwkMWxpNRY,The Vishal bhatt,2025-03-01T14:31:07Z,https://www.youtube.com/watch?v=OuwkMWxpNRY,,41,,,
hotel paavangal | un hygiene food awareness video | actor Karthikeyan | monisha | Elangovan,evMxFY1j1v0,hero Karthikeyan,2025-03-18T15:24:56Z,https://www.youtube.com/watch?v=evMxFY1j1v0,no hotel owners and shop are targeted in this video just awareness video.,51,,,
The Most Diabetic Hot Chocolate 🫣,PP27zllvZ_I,Amith Sai D,2025-03-31T00:00:17Z,https://www.youtube.com/watch?v=PP27zllvZ_I,"I tried Italian Bear's richest, thickest, and deadliest hot chocolate in London. This isn't just a drink—it's an assault on my insulin ...",59,,,
Pls Avoid Food Colors | Be Aware #afrahomemadecake #foodcolors #birthdaycake #awareness,TVy8cBg-tas,afra home made cake,2025-02-25T06:02:12Z,https://www.youtube.com/watch?v=TVy8cBg-tas,DM for orders - Contact us 8220508591 Instgaram : https://www.instagram.com/afrahomemadecake/ Facebook ...,68,,,
Security Guard Food Ka Kya Krta Tha ?Never Waste FooD #awareness,PPcZ0COch3w,Team shoaib javed ,2025-01-11T15:36:09Z,https://www.youtube.com/watch?v=PPcZ0COch3w,food #waste #awareness Security Guard Food Ka Kya Krta Tha ?Never Waste FooD Welcome to our channel! We are a group of 5 ...,82,,,
₹500 Street Food Challenge🍔🔥|#shorts | No Repeat Food Battle! | Mad for Fun,x6IgiXPVjJw,Mad For Fun,2025-03-28T10:30:26Z,https://www.youtube.com/watch?v=x6IgiXPVjJw,We took on the ultimate ₹500 Street Food Challenge! Two teams—Sahil & Praja vs. Aparna & Sharjeel—battle it out to see who ...,45,,,
Naa jeevitham lo nenu chesina oka manchipani #awareness #cow #funny #trending #shorts,M3wAglm8tNs,Sarcastic Sai,2025-02-11T04:41:56Z,https://www.youtube.com/watch?v=M3wAglm8tNs,Naa jeevitham lo nenu chesina Oka manchi pani #awareness #cow #funny #trending #shorts.,60,,,
Nunchaku Legal or illegal? #awareness #kids,KtXA65rCtdA,Karate and Fitness Tutorial,2025-03-03T17:52:48Z,https://www.youtube.com/watch?v=KtXA65rCtdA,,53,,,
"Healing isn’t easy, but it’s necessary 💗💗 #fyp #healing #awareness #selflove #shorts #viral",COy7q961aOQ,JUSTJULES💖,2025-03-11T18:22:17Z,https://www.youtube.com/watch?v=COy7q961aOQ,,13,,,
#kumarsir #trendingshorts #youtubeshorts #facts #awareness #education #fitness #fattofit #health,l6jBfUU0X94,Kumar Sir Official ,2025-03-30T12:30:40Z,https://www.youtube.com/watch?v=l6jBfUU0X94,,60,,,
