Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Bharti Singh’s Healthy Dryfruits Chocolate Recipe #shorts #ytshorts,fRxaiCSODs8,Shukla Pooja Ki Rasoi ,2025-02-09T17:27:30Z,https://www.youtube.com/watch?v=fRxaiCSODs8,Bharti Singh's Healthy Dryfruits Chocolate Recipe #chocolate #healthychocolate #dryfruits #trending #celebrityrecipe #celebrity ...,58,35321734,818112,781
Celebrity recipes: episode 71- Manish Acharya ji #alkalinewater #detox #detoxwater,CCUoB4IPDJs,Food and Frolic,2025-03-23T13:46:43Z,https://www.youtube.com/watch?v=CCUoB4IPDJs,Celebrity recipes: episode 71- Manish Acharya ji on benefits of alkaline water✨ Alkaline water is simple water made with ...,15,16045513,262652,479
शाही कस्टर्ड🤤 #fruitcustard #fruits #fruitcutting #dryfruits #fruitshake #recipe #cooking #healthy,l9YX9m1XLew,Taste by ishika,2025-03-31T11:11:34Z,https://www.youtube.com/watch?v=l9YX9m1XLew,,60,14952848,220782,295
Ginger Shots For Glowing Skin ?🫚,0LKQ_qrF9FU,Allen Choudhary,2025-01-30T09:08:40Z,https://www.youtube.com/watch?v=0LKQ_qrF9FU,recipes #skincare #recipe #health #healthy #dermatologist #acne #juicerecipe #ashortaday #ytshorts.,33,7821247,314812,699
Bharti Singh's Healthy Dryfruits Chocolate Recipe #shorts,JlHXqXAeUGg,Food Link,2025-01-27T13:10:00Z,https://www.youtube.com/watch?v=JlHXqXAeUGg,Bharti Singh's Healthy Dryfruits Chocolate Recipe #bhartisingh #chocolate i #healthy Utensils that I use (Amazon affiliate links) ...,41,8021402,285391,231
Bharti Singh’s Healthy “Dry Fruit Chocolate!” #shorts #chocolate #healthy #bhartisingh #shortsfeed,nRRAQZyG9ag,Arpita Veg Kitchen,2025-01-12T09:00:33Z,https://www.youtube.com/watch?v=nRRAQZyG9ag,Bharti Singh's Healthy “Dry Fruit Chocolate!” #shorts #chocolate #healthy #bhartisingh #ashortaday #arpitavegkitchen #ytshorts ...,,,,
Deepika Padukon’s Favourite Rasam Rice Recipe।#viralvideo #winterspecial  #celebs @holy_bites  #yt,c5uzkfY1i9I,Holy Bites,2025-01-07T15:36:49Z,https://www.youtube.com/watch?v=c5uzkfY1i9I,Welcome to Holy Bites! Discover a world of delicious and wholesome recipes made without onion and garlic. Whether you're ...,45,7200458,190264,367
Chilli Paneer Paratha for Breakfast |Paratha recipe | India | healthy how to make paratha Healthier,mN2G8wlpmPA,Cook with Dillifoodies,2025-01-17T06:45:03Z,https://www.youtube.com/watch?v=mN2G8wlpmPA,,34,12179409,271193,364
Try This Traditional Zero Oil Recipe #makeeathealthy,zdmTLi2a9O8,Make Eat Healthy,2025-01-05T07:45:02Z,https://www.youtube.com/watch?v=zdmTLi2a9O8,,50,8256329,148127,682
Virat Kohli’s healthy super food Salad 🥗🤤 #healthysalad #salad #viratkohli,zZI0FAPYxMQ,Spicy cooking 7,2025-02-17T12:27:21Z,https://www.youtube.com/watch?v=zZI0FAPYxMQ,shorts #food #saladrecipe #healthymeals #healthydiet #viratkohli #virat #salad #saladrecipe #fitness #nutritiontips #starsports ...,36,9150669,248552,824
Viral Zym Coach Nitesh Soni's Healthy Dry Fruit Laddu Recipe #shorts #ashortaday,WSzjwA1oIYk,Deepa's Kitchen Tadka,2025-02-08T08:34:30Z,https://www.youtube.com/watch?v=WSzjwA1oIYk,Viral Zym Coach Nitesh Soni's Healthy Dry Fruit Laddu Recipe #shorts #niteshsoni #laddu #laddurecipe #healthyladdu ...,34,13482047,219767,369
Acharya Manish Ji's Healthy Fruit Chaat Recipe #shorts #acharyamanishji #ashortaday,Nra__BIWm1M,Deepa's Kitchen Tadka,2025-01-06T08:30:13Z,https://www.youtube.com/watch?v=Nra__BIWm1M,Acharya Manish Ji's Healthy Fruit Chaat Recipe #shorts #acharyamanishji #aniruddhacharyaji #fruitsalad #fruitchaat ...,22,4862076,43664,57
Keerthy Suresh Morning Routine! #detoxdrink #healthy #diet #greenjuice #weightloss #recipe,WXpt0XjUXxs,SandyKitch,2025-03-02T13:15:05Z,https://www.youtube.com/watch?v=WXpt0XjUXxs,Green Detox Juice – The Ultimate Morning Cleanse! Start your day with a refreshing Green Detox Juice that's packed with ...,17,8917561,152826,224
Air Fryer Egg Delight: Quick & Healthy Breakfast Recipe in 15 Minutes! #ourfoodlab #airfryer,-Spz9UqcTLY,Our Food Lab,2025-01-16T11:46:30Z,https://www.youtube.com/watch?v=-Spz9UqcTLY,"""Transform 5 eggs into a delicious, healthy breakfast using an air fryer! Add chopped capsicum, tomato, onion, coriander, salt, and ...",56,5935629,99629,681
High protein & PCOS friendly meal bowl,ETa6a9IW-0o,Masterchef kriti dhiman,2025-01-30T08:09:20Z,https://www.youtube.com/watch?v=ETa6a9IW-0o,,21,6038975,207298,206
Shriya Saran’s Secret to Staying Fit: Healthy & Tasty Pesarattu Recipe | #youtube #shorts #food,JVXMtvaZ504,One More Bite,2025-02-24T13:20:33Z,https://www.youtube.com/watch?v=JVXMtvaZ504,Want to know Shriya Saran's secret to staying fit and glowing.? Try her favorite healthy South Indian dish Pesarattu.,,,,
Leftover ATTA wali MAGGI - 100% healthy #bharatzkitchen #food #recipe,dmEfwPb3Guc,Bharatzkitchen Shorts,2025-03-03T13:18:42Z,https://www.youtube.com/watch?v=dmEfwPb3Guc,,69,4940828,303846,520
Bharti Singh's Healthy Chocolate Recipe #shorts,w3Ci-TEM2pI,Food Link,2025-01-14T14:15:07Z,https://www.youtube.com/watch?v=w3Ci-TEM2pI,Bharti Singh's Healthy Chocolate Recipe #bhartisingh #chocolate #healthy Utensils that I use (Amazon affiliate links) : Glass Bowl ...,58,4096295,123398,99
23 Kg in 3 Months: Actress Abarnathi's Diet Inspired Recipe | #youtube #shorts #food #diet,b83_BSXlbgs,One More Bite,2025-03-26T13:21:09Z,https://www.youtube.com/watch?v=b83_BSXlbgs,"Actress Abarnathi underwent a significant transformation for her role in the film 'Irugapatru, gaining 23 kilograms in three months ...",,,,
Roasted Veggie Bowl | Easy & Nourishing Vegan Meal Prep! 🥦🥕🌱✨,B0qfFHMHbPI,Ahmad Noori,2025-03-14T19:27:33Z,https://www.youtube.com/watch?v=B0qfFHMHbPI,"This Roasted Veggie Bowl is the perfect healthy, balanced, and flavor-packed meal for any day of the week! ✨ Loaded with ...",24,6564354,196021,897
Healthy High Protein Ice Cream #icecream #protein #food #recipe,awjqgAIccZM,AlexanderCooks,2025-03-30T18:52:05Z,https://www.youtube.com/watch?v=awjqgAIccZM,,93,6651757,396903,3593
Healthy Pav Bhaji with benefits ! Aapne socha bhi nahi hoga ki one ingredient can be game changer,jrnPFPraYTk,Chef Neha Deepak Shah,2025-01-28T07:27:46Z,https://www.youtube.com/watch?v=jrnPFPraYTk,,60,3717492,156057,326
Dr Shubham Vatsya's Healthy Black Coffee Recipe #shorts #ashortaday,zHHxFo-3IVM,Deepa's Kitchen Tadka,2025-03-11T08:30:33Z,https://www.youtube.com/watch?v=zHHxFo-3IVM,Dr Shubham Vatsya's Healthy Black Coffee Recipe #shorts #drshubhamvatsya #acharyamanishji #blackcoffee #coffee ...,20,5352294,110945,864
Healthy Chocolate Icecream 🍦 #viralvideo #recipe #cookingvlog #shortvideo #foodies #icecream #food,vvAbMXLt4Uk,Poonam's Cookery,2025-03-26T13:19:55Z,https://www.youtube.com/watch?v=vvAbMXLt4Uk,,42,4715726,139947,274
