Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Heart Attack ⚡️#heartattack #hearthealth  #yogawithkamya #healthylifestyle #heartattackawareness,5REN0Qz_SqQ,Yoga With Kamya,2025-01-30T12:04:21Z,https://www.youtube.com/watch?v=5REN0Qz_SqQ,,31,3725130,108266,1114
#shorts plastic in Heart #health #doctor #healthyliving #plastic #heart,AODwiZ2bcUE,My Expert Doctor Hindi,2025-03-28T12:07:53Z,https://www.youtube.com/watch?v=AODwiZ2bcUE,,60,6015249,100095,185
#shorts कोलेस्ट्रॉल कम करे #health #nutrition #healthyliving #stayhealthy #cholesterol #hearthealth,cLDqV7uuCus,My Expert Doctor Hindi,2025-01-18T10:30:25Z,https://www.youtube.com/watch?v=cLDqV7uuCus,,51,2774823,78259,129
"Heart attack♥️ , blockage, nerve block best exercise #youtubeshorts #heart #blockage",BIgbLPdbZYU,sys power yoga,2025-01-06T01:28:20Z,https://www.youtube.com/watch?v=BIgbLPdbZYU,,33,1141039,20009,26
How Strong Is Your Heart? (2-Minute Test),WCZ-_lRR5KY,Bryan Johnson,2025-01-31T18:00:05Z,https://www.youtube.com/watch?v=WCZ-_lRR5KY,My heart recovers faster than 75% of elite athletes and 99% of the general population. Order my Blueprint Stack: ...,167,614400,17084,904
Dr. Kumar Padmakar's Heart-Healthy Juice Lower Cholesterol Naturally #hearthealth #healthtips #short,gQdupb6Boag,Swadisht Rasoi,2025-03-12T11:33:00Z,https://www.youtube.com/watch?v=gQdupb6Boag,health #healthcare #doctor #kumarpadmakar #healthtips #hearthealth #best #homemade #remedies #lower #cholesterol #tips ...,51,568771,9901,35
Heart Health🫀✅💯 #yoga #mudra #heartattack #yogi #health #handmudras #shorts #yogalife #vayumudra,oquzn2xQBtw,Yogi Nitant ,2025-03-17T12:30:40Z,https://www.youtube.com/watch?v=oquzn2xQBtw,Vayu Mudra Benefits :- Improves blood circulation Boosts energy & vitality Relieves joint pain & stiffness Enhances heart health ...,15,908797,7405,52
Does dark chocolate boost brain function and heart health?,8gMdlwXmbZk,Factopedia English,2025-02-09T12:30:06Z,https://www.youtube.com/watch?v=8gMdlwXmbZk,,6,276472,14977,186
Surprising Food Combos That Improve Digestion & Heart Health #healthburo,j0iIKvU82FY,Health Buro,2025-01-28T22:30:14Z,https://www.youtube.com/watch?v=j0iIKvU82FY,health #nutritionfacts #healthyfood #nutrition #healthydiet #fypシ゚ #shortsvideos #fyp.,19,222781,9130,115
4 things you might not know about your heart #hearthealth #surgeon #doctor #heartattack #fypシ,Nf4-I337eHM,"Jeremy London, MD",2025-03-25T14:57:39Z,https://www.youtube.com/watch?v=Nf4-I337eHM,,57,364244,16798,377
Heart Attack Ke Pehle Aane Wale Warning Signs | Ignore Mat Karna,NhJXm8SioaA,Dr Abhijit Aklujkar - Wellness King,2025-03-10T14:00:26Z,https://www.youtube.com/watch?v=NhJXm8SioaA,"Heart attack kabhi bhi achanak nahi hota, uske pehle body kuch warning signs deti hai. But sadly, hum aksar inhe ignore kar dete ...",53,533275,11490,100
My Top 3 Supplements for Heart Health #supplements #hearthealth #heartsurgeon #heartattack #fypシ,YOVpAVXNVQc,"Jeremy London, MD",2025-01-17T18:53:02Z,https://www.youtube.com/watch?v=YOVpAVXNVQc,,56,157712,11516,311
Foods to help reduce heart palpitations #food #heart #health #healthtips #wellness #wellnesstips,5WIfTo-RyiI,Sukhwinder Singh,2025-01-29T03:26:59Z,https://www.youtube.com/watch?v=5WIfTo-RyiI,,6,139766,2108,2
Here are the best foods for your heart health! #HeartHealth #ArteryCleanse #NutritionMatters,q1vGCt9cbE8,DrBergQuickTips,2025-03-07T16:40:07Z,https://www.youtube.com/watch?v=q1vGCt9cbE8,Looking for the best meal to support your arteries and overall cardiovascular health? Here's what you should include: ...,54,137547,8100,71
#shorts 5 nutrients for Heart #health #doctor #healthyliving #nutrition #heart #healthyheart,HcroHXJcIkc,My Expert Doctor Hindi,2025-03-20T12:45:43Z,https://www.youtube.com/watch?v=HcroHXJcIkc,,60,185130,10459,299
Heart Health के लिए Simple tips,qiXO2KTt8ec,HUMYOG,2025-03-26T07:20:23Z,https://www.youtube.com/watch?v=qiXO2KTt8ec,Heart Health के लिए Simple tips.,57,120836,6716,42
Tips for a Healthy Heart #health #hearthealth #heart #healthtips #hydrate #flow #shortsfeed#exercise,I523yZwpdxM,Sri's Family,2025-02-08T01:30:07Z,https://www.youtube.com/watch?v=I523yZwpdxM,Tips for a Healthy Heart #health #hearthealth #heart #healthtips #hydrate #flow #shortsfeed#exercise #health #healthy ...,4,65179,254,0
Boost Heart Health Naturally | Swanson Red Yeast Rice Cholesterol Support Featuring KaraHeart,970MZX4rC24,Swanson Health,2025-01-23T21:00:07Z,https://www.youtube.com/watch?v=970MZX4rC24,Looking for a way to support your heart health with science-backed ingredients? Discover Swanson's Red Yeast Rice Cholesterol ...,20,233839,7,0
Heart Attack in 3D Animation #heartattack #animation #anatomy #medical,ESzKb-lyoOQ,Surgical Knowledge,2025-03-13T14:50:00Z,https://www.youtube.com/watch?v=ESzKb-lyoOQ,"A heart attack, also known as a myocardial infarction, occurs when blood flow to the heart is blocked, leading to severe ...",46,261038,3617,23
TOP 7 Best FRUITS For Heart Health #shorts,mn8xEDVK5nQ,Natural Remedies,2025-01-03T13:01:29Z,https://www.youtube.com/watch?v=mn8xEDVK5nQ,TOP 7 Best FRUITS For Heart Health #shorts #hearthealth #healthylifestyle #healthyliving #nutrition #healthtips #fruits ...,,,,
250211-3 exercises before bed to improve heart health and sleep well.,BRQtmc3WwEE,Taichi Zidong,2025-02-04T15:02:13Z,https://www.youtube.com/watch?v=BRQtmc3WwEE,"https://taichizidong.com Specific exercise improve symptoms, daily full-body exercises remove root causes. 250211-3 exercises ...",20,44721,3446,44
The BEST Vegetables for Heart Health & Circulation! #hearthealth #bloodpurification #cholesterol,1hpGFTO2g0w,Timeless Fuel Nutrition,2025-02-19T13:00:02Z,https://www.youtube.com/watch?v=1hpGFTO2g0w,"Want to support heart health, improve circulation, and lower blood pressure naturally? These powerful vegetables can help: ...",13,53862,1936,9
