Title,Video ID,Channel,Published At,URL,Description,Video Length
Irritable bowel syndrome #parentingtips #daisyhospital #food #coughremedy #parenting #drsharmika,FXM9RNLkoHc,DAISY HOSPITAL,2025-01-09T03:54:41Z,https://www.youtube.com/watch?v=FXM9RNLkoHc,,
Fiber for Constipation || Constipation इन 5 चीज़ो को जरूर खाये #shorts,2cOPNIMClJ0,The Gastro Liver Hospital Kanpur,2025-02-12T12:45:59Z,https://www.youtube.com/watch?v=2cOPNIMClJ0,Fiber for Constipation || Constipation इन 5 चीज़ो को जरूर खाये #shorts Constipation can be occasional or chronic ...,
Constipation Medicine #shorts,2ILj4aG5PUs,The Gastro Liver Hospital Kanpur,2025-02-13T12:27:44Z,https://www.youtube.com/watch?v=2ILj4aG5PUs,Constipation Medicine #shorts Nonprescription laxatives Oral bulk formers Absorb water to form bulky stools. Examples include ...,
"Zero-Carb 7-Minute Protein Wrap 🌯 | High-Protein, IBS-Friendly Meal! #healthyeating #lowcarbdiet",cJJ-ZBc-hpY,A1 Keto,2025-01-23T18:54:39Z,https://www.youtube.com/watch?v=cJJ-ZBc-hpY,"Zero-Carb 7-Minute Protein Wrap | High-Protein, IBS-Friendly Meal! Say goodbye to bloating and hello to energy!",
"#shorts  വയറു ശുദ്ധമാക്കാൻ ഇത് കഴിച്ചാൽ മതി .. constipation solution food #healthtips #vaidyam,",AwKA8VA6o1I,Vaidyam,2025-03-15T00:30:07Z,https://www.youtube.com/watch?v=AwKA8VA6o1I,Constipation relief foods Foods that relieve constipation Natural constipation remedies Best foods for digestion Foods for ...,
"Gas,bloating,ibs,acidity,constipation treatment by chiropractor gautambatra.",1ztqggk5COY,GAUTAM BATRA,2025-02-08T18:06:22Z,https://www.youtube.com/watch?v=1ztqggk5COY,,
ইরিটেবল বাউভেল সিনড্রমে কি করা থেকে বিরত থাকবেন? #ibs #ibsrelief #ibssymptoms #irritablebowel,8_hDHY37o3I,DR S A MALLICK,2025-02-21T02:00:06Z,https://www.youtube.com/watch?v=8_hDHY37o3I,"Are you tired of living with Irritable Bowel Syndrome (IBS)? Do you experience symptoms like bloating, abdominal pain, and ...",
We Tried Every IBS Treatment Option #ibs #ibsrelief #ibssymptoms,u379ecnstjE,DR S A MALLICK,2025-01-12T13:44:49Z,https://www.youtube.com/watch?v=u379ecnstjE,"DR S A MALLICK, MD Lake Gardens Kolkata Appointment: 9804069161, 9836890903, 9051969290 This platform is not for ...",
IBS Treatment at Home | Ayurvedic Powder To Treat IBS | Home Remedies For Irritable Bowel Syndrome,ib6EKRP__Pk,Ask Health Guru,2025-02-20T04:30:29Z,https://www.youtube.com/watch?v=ib6EKRP__Pk,"Are you suffering from IBS symptoms like abdominal pain, bloating, irregular bowel movements, and discomfort? In this video, Dr.",
IBS Colitis Digestive issues solution Trikuta churn,73luC53aqu0,Vaidya Rajesh Kapoor - Official Channel,2025-03-25T12:12:43Z,https://www.youtube.com/watch?v=73luC53aqu0,,
