Title,Video ID,Channel,Published At,URL,Description,Video Length
My delicious Intermittent Fasting Meal Plan! #shorts,YrF5YRWsX_Q,Anita Bokepalli,2025-01-29T15:19:05Z,https://www.youtube.com/watch?v=YrF5YRWsX_Q,"Laddus, here's what my 8-hour eating window looked like today! ✨ Broke my intermittent fast at 10 AM with soaked nuts, dry ...",
वेटलॉस आणि मी - भाग १ :) | What I eat in day on Intermittent Fasting :),ESzqixqTfnE,MadhurasRecipe Marathi,2025-03-25T07:30:04Z,https://www.youtube.com/watch?v=ESzqixqTfnE,Hirvya mugachi amti ukadleli shevgyachi sheng mugacha dosa paneer salad methichi bhaji #weightlossjourney ...,
Intermittent Fasting (9 AM - 5 PM) What I Eat In a Day #weightloss #ashortaday #whatieatinaday,gyOrCDvVrjI,ANKIT TV,2025-01-28T08:57:11Z,https://www.youtube.com/watch?v=gyOrCDvVrjI,,
What I Eat in a Day on Intermittent Fasting #shorts,l5LZk6fv9Pw,Anita Bokepalli,2025-03-07T14:45:12Z,https://www.youtube.com/watch?v=l5LZk6fv9Pw,"Laddus, today was a full-on yummy, cozy food day! 10am - Broke my fast with coconut water (malai love!) + juicy watermelon ...",
Tasty Intermittent Fasting Meals with Experiments 🤤#shorts,I37qX1uWB04,Anita Bokepalli,2025-03-09T15:36:28Z,https://www.youtube.com/watch?v=I37qX1uWB04,"Laddus, today was all about experiments & delicious surprises! Broke my fast with perfectly ripe chikoo Breakfast ...",
Intermittent fasting #food #eatandlose #dietplan #healthylifestyleeats #weightlossdiet #breakfast,QJHPelWBEbs,fitness tips,2025-01-25T14:49:55Z,https://www.youtube.com/watch?v=QJHPelWBEbs,food #eatandlose #dietplan #healthylifestyleeats #indianfood #benefitsofhealthyfood #dietchart #healthydieting #breakfast ...,
Science Behind Water Fasting for Weight Loss | Tips and Tricks | Indian Weight Loss Diet by Richa,3aKCLpjFKY4,Indian Weight Loss Diet by Richa,2025-02-25T03:00:29Z,https://www.youtube.com/watch?v=3aKCLpjFKY4,Science Behind Water Fasting for Weight Loss | Tips and Tricks | Indian Weight Loss Diet by Richa Kunal & Sayali's INSANE ...,
The Worst Intermittent Fasting Mistake | Ms Shiny Surendran | Art Of Eating,1SHPu_D3QiU,Shiny Art of Eating,2025-01-23T11:30:02Z,https://www.youtube.com/watch?v=1SHPu_D3QiU,"Busting Common Myths About Intermittent Fasting with Dr. Dharini ""Don't skip breakfast!""– Intermittent fasting doesn't require you ...",
What Would Happen If You Did Intermittent Fasting for 14 Days?,S7-L9SKxJbk,Dr. Berg Shorts,2025-01-13T13:00:39Z,https://www.youtube.com/watch?v=S7-L9SKxJbk,"In this video, we explore the powerful benefits of Intermittent Fasting after 14 days of practice! If you've been curious about how ...",
My daily intermittent fasting plan | Somya Luhadia #healthcoach #nutritioncoach,DnFzd2VqPpg,The Glow Girl Tales,2025-02-26T12:30:14Z,https://www.youtube.com/watch?v=DnFzd2VqPpg,"Please watch: ""21 Days Glow Up Challenge | No Sugar Intake | Episode 1 | Somya Luhadia"" ...",
Intermittent fasting not for everyone #ayurveda #thehimachalipodcast #shorts #short,W9PMFDSXv9Y,The Himachali Podcast,2025-02-04T12:55:31Z,https://www.youtube.com/watch?v=W9PMFDSXv9Y,,
Intermittent Fasting is Healthy for You,sAjyikNR4OY,DrSnowBrainHealth,2025-01-01T01:07:01Z,https://www.youtube.com/watch?v=sAjyikNR4OY,"Lose weight and help ward off many diseases by Intermittent Fasting. In Episode 11 of The Doctor Snow Brain Health Show, ...",
Intermittent fasting! #weightloss #weightlossdiet #healthy #diet #intermittentfasting #youtube,zzNTl55kD4c,PriyaDeepu vlogs ,2025-03-05T14:30:39Z,https://www.youtube.com/watch?v=zzNTl55kD4c,,
what i eat in a day.... In a                  (intermittent fasting) healthy edition  #whatieatinaday,AHt7zUmlwYQ,Sapna Devalkar,2025-02-02T09:35:45Z,https://www.youtube.com/watch?v=AHt7zUmlwYQ,,
