Title,Video ID,Channel,Published At,URL,Description,Video Length
10 Perimenopause Tips I Wish I Knew Sooner,Jb-PZd5zk5s,"Dr. Mary Claire Haver, MD",2025-01-16T02:57:27Z,https://www.youtube.com/watch?v=Jb-PZd5zk5s,The sooner you recognize that your symptoms are connected to perimenopause the sooner you can start addressing them.,
If 50 is the new 30 then menopause is the new childbirth!! 😜#comedian #menopause #perimenopause,LQuuc79P8gM,Leanne Morgan Comedy,2025-03-20T15:46:23Z,https://www.youtube.com/watch?v=LQuuc79P8gM,,
Amberen Perimenopause - Targets the Root Cause,jx9k9TiEuSM,Amberen,2025-02-10T21:50:49Z,https://www.youtube.com/watch?v=jx9k9TiEuSM,,
Amberen Perimenopause - Do All the Things with Secret Weapon,dM_d9DX3yzU,Amberen,2025-02-10T21:54:08Z,https://www.youtube.com/watch?v=dM_d9DX3yzU,,
I can’t remember anything 🙃 #perimenopause,fYY_CPgvhbI,Holderness Family Laughs,2025-01-13T13:23:07Z,https://www.youtube.com/watch?v=fYY_CPgvhbI,,
How doctors learn about women’s health #menopause #perimenopause #womensmonth #hormones,JY7dPhNSQTc,Dr. Judith Joseph,2025-03-08T13:55:35Z,https://www.youtube.com/watch?v=JY7dPhNSQTc,,
"9 - Experiencing Depression, Fatigue & Insomnia During Perimenopause?",ZM2G0-yXDFI,"Dr. Gabrielle Francis, The Herban Alchemist",2025-02-05T15:45:02Z,https://www.youtube.com/watch?v=ZM2G0-yXDFI,"Empowered Menopause... A Naturopathic Guide to the Midlife Transformation... with Dr. Gabrielle Francis Episode 9: Depression, ...",
Things Your Mom Never Told You 😭 #perimenopause #menopause #mom #womenshealth,V3_NFGrVnuY,Therapy Talk Unplugged,2025-01-31T08:03:00Z,https://www.youtube.com/watch?v=V3_NFGrVnuY,,
PCOS and Perimenopause. Full podcast link in the description.,SFhuyObvWSc,"Dr. Mary Claire Haver, MD",2025-03-26T04:00:21Z,https://www.youtube.com/watch?v=SFhuyObvWSc,Here is the link to the I Choose Me with Jennie Garth podcast featuring Dr. Haver: ...,
Perimenopause: The Symptoms You NEED to Know #short #womenhealth #perimenopause,cMH-4goteMM,"Dr. Janine Bowring, ND",2025-03-14T18:00:35Z,https://www.youtube.com/watch?v=cMH-4goteMM,"Perimenopause: The Symptoms You NEED to Know Perimenopause is a natural biological process that occurs in women, but it ...",
Is perimenopause ruining my sleep? Can fix it with a new pillow? #perimenopause #goodnightsleep,-it_2kofw2g,Bang On Style,2025-01-24T18:12:15Z,https://www.youtube.com/watch?v=-it_2kofw2g,,
perimenopause symptoms,kh91bcA1wDo,"Casey Farlow, The Perimenopause Nutritionist ",2025-03-21T20:04:44Z,https://www.youtube.com/watch?v=kh91bcA1wDo,If you've been feeling off... but your doctor keeps telling you “everything is normal” — you are NOT imagining it. Perimenopause ...,
I went through divorce in perimenopause...,EYqHyL55GJo,Tamsen Fadal,2025-03-16T13:00:20Z,https://www.youtube.com/watch?v=EYqHyL55GJo,Perimenopause is for rediscovery Pre-order your copy of How To Menopause: www.howtomenopause.com #perimenopause ...,
Halle Berry Says Her Doctor Mistook Her Perimenopause Symptoms For “A Bad Case Of Herpes” #shorts,bFyNpkQwWxM,Decider,2025-02-24T19:48:48Z,https://www.youtube.com/watch?v=bFyNpkQwWxM,Halle Berry tells Drew Barrymore was forced to do her own research when her doctor mistook her perimenopause symptoms for ...,
This embarrassed me during perimenopause!,HUBcXrcZ_zw,Tamsen Fadal,2025-03-10T13:00:32Z,https://www.youtube.com/watch?v=HUBcXrcZ_zw,There's no shame or embarrassment allowed in this community. Let's normalize perimenopause and menopause so no one else ...,
You CAN get pregnant during perimenopause,DQiut5SGewA,Tamsen Fadal,2025-03-27T18:00:26Z,https://www.youtube.com/watch?v=DQiut5SGewA,"Listen to #TheTamsenShow on Apple, Spotify, or whatever you get your podcasts! 🎙️ #menopause #perimenopause ...",
Anybody else? Over 40 and in perimenopause 😳🥵🥶🤣,9MkcEZGOkGc,SaRatta Murphy,2025-01-16T15:14:03Z,https://www.youtube.com/watch?v=9MkcEZGOkGc,,
Heart Palpitations in Perimenopause,mbwnGhkHqho,"Heather Hirsch MD, MS, NCMP",2025-01-10T15:01:56Z,https://www.youtube.com/watch?v=mbwnGhkHqho,"Heart racing? It's normal during perimenopause! Hormonal changes can make you have heart palpitations. Listen to your body, ...",
The Carnivore diet and perimenopause,K46wpBieM3U,JK Fitness and Nutrition,2025-01-09T23:22:02Z,https://www.youtube.com/watch?v=K46wpBieM3U,I get asked quite often if the Carnivore diet is ideal for peri/menopausal women. I can't think of a better way of eating for me that ...,
"Let’s talk about hormones, menopause, perimenopause, and more with podcast guest Mercedes Deal FNP-C",Ryy8LpCahjg,Mixed Makeup,2025-03-12T13:00:43Z,https://www.youtube.com/watch?v=Ryy8LpCahjg,,
Perimenopause Symptoms You Need to Know | Watch the Full Video - https://youtu.be/8dFQ9lf2lCM,N1KcpOvKcn0,Kauvery Hospital,2025-03-27T13:00:27Z,https://www.youtube.com/watch?v=N1KcpOvKcn0,"Perimenopause is a natural transition, but its symptoms can often be confusing or challenging. In this video, Dr. Anitha, Senior ...",
How to tell if you're in perimenopause,SCMAaf2UIJY,Tamsen Fadal,2025-03-26T09:55:22Z,https://www.youtube.com/watch?v=SCMAaf2UIJY,"Listen to #TheTamsenShow on Apple, Spotify, or whatever you get your podcasts! 🎙️ #menopause #perimenopause ...",
Anyone else’s brain a total jerk?😭 #depression #anxiety #depressed #momlife #perimenopause,rSo6_0KC3hQ,Garbagemom,2025-02-21T16:18:47Z,https://www.youtube.com/watch?v=rSo6_0KC3hQ,,
Chocolate good or bad for perimenopause? #shortsfeed,SpqExDL8mCI,Healthy With Ravneet Bhalla,2025-02-12T13:25:00Z,https://www.youtube.com/watch?v=SpqExDL8mCI,Chocolate good or bad for perimenopause? #shortsfeed cacao benefits and perimenopause management: Perimenopause is a ...,
Perimenopause is rude and so am I 😵‍💫,WOK-Auvw2mA,BeckyBeeSocial,2025-01-08T18:32:02Z,https://www.youtube.com/watch?v=WOK-Auvw2mA,,
I wish I knew about THESE #perimenopause symptoms,MofTeHVmMHM,Tamsen Fadal,2025-03-22T13:00:35Z,https://www.youtube.com/watch?v=MofTeHVmMHM,"Just to name a few I don't tell you these symptoms to scare you, I want to make sure you know what could be happening in your ...",
Thanks Perimenopause. #over40 #funny #longstorylong #menopause,ay_rll9mVjU,Candy Flores,2025-01-29T17:26:44Z,https://www.youtube.com/watch?v=ay_rll9mVjU,"Don't ask me to remember ANYTHING right now. Also, long stories will now stay LONG STORIES. My brain doesn't know what ...",
