Title,Video ID,Channel,Published At,URL,Description,Video Length
The Real Calcium Source Doctors Don’t Tell You!,cw1ffmNjh_E,Satvic Movement,2025-01-08T13:00:40Z,https://www.youtube.com/watch?v=cw1ffmNjh_E,"Doodh piyo, warna bones strong kaise banengi?” ✨ You've heard this too, right? Growing up, my mom would insist I finish my ...",
Roasted Veggie Bowl | Easy & Nourishing Vegan Meal Prep! 🥦🥕🌱✨,B0qfFHMHbPI,Ahmad Noori,2025-03-14T19:27:33Z,https://www.youtube.com/watch?v=B0qfFHMHbPI,"This Roasted Veggie Bowl is the perfect healthy, balanced, and flavor-packed meal for any day of the week! ✨ Loaded with ...",
WHAT I ATE TODAY #ballerinadiet#vegan#plantbased#whatiatetoday#whatieatinaday#healthy#ballerina,eL83-Z-6qFU,Lori Hernandez,2025-03-22T02:06:56Z,https://www.youtube.com/watch?v=eL83-Z-6qFU,,
How did Acharya Prashant adopt a plant based lifestyle? #cosmetics #crueltyfree #rabbit #stws,Q1dYvKk_LH8,Sustainable Tea With Shreya ,2025-01-05T14:00:32Z,https://www.youtube.com/watch?v=Q1dYvKk_LH8,,
EVERYTHING I ATE IN INDIA WITH MY NON-VEGAN FAMILY🌿🇮🇳 #veganfood #plantbased #india #indianfood,W1EWRAQ0nN8,BrownGirlVegan,2025-02-08T16:14:41Z,https://www.youtube.com/watch?v=W1EWRAQ0nN8,,
Plant Based Cooking adventures 😋 What are we cooking today? #plantbased #cookwithme #veggies,tqG-fOMl1IE,"Half Naked Kitchen: Travel, Fitness, Food, SexY ",2025-03-03T13:01:30Z,https://www.youtube.com/watch?v=tqG-fOMl1IE,Get into the Half Naked Kitchen for a whopping and fun adventure. You'll learn more about me and see some of the delicious ...,
"Font | OATSIDE Nerd Grade Oat Milk | Delicious, Plant-Based Oat Milk",-Nu22lNLCio,OATSIDE,2025-02-04T04:36:37Z,https://www.youtube.com/watch?v=-Nu22lNLCio,"Nerds are always looking for ways to make things better. Just like OATSIDE Oat Milk - creamy, well-balanced, and roasted to ...",
Tung Oil: A Non-Edible Plant-Based Oil,K42f4hA43JA,WonderBites,2025-01-06T12:37:45Z,https://www.youtube.com/watch?v=K42f4hA43JA,"Extracted from tung tree seeds, tung oil is a non-edible, eco-friendly solution for waterproofing and protecting furniture, boats, and ...",
"Playground | OATSIDE Nerd Grade Oat Milk | Delicious, Plant-Based Oat Milk",s3EqLS470U8,OATSIDE,2025-02-04T03:26:32Z,https://www.youtube.com/watch?v=s3EqLS470U8,"Nerds are uncompromisable. Just like OATSIDE Oat Milk - creamy, well-balanced, and roasted to perfection. Our vegan oat milk is ...",
Cepelinai - Plant Based Eastern Europe,6zRxEHsPusM,Nomante,2025-03-06T15:30:05Z,https://www.youtube.com/watch?v=6zRxEHsPusM,,
"Love | OATSIDE Nerd Grade Oat Milk | Delicious, Plant-Based Oat Milk",akwKh7wyGqs,OATSIDE,2025-02-04T03:56:13Z,https://www.youtube.com/watch?v=akwKh7wyGqs,"Nerds are built for precision. Just like OATSIDE Oat Milk - creamy, well-balanced, and roasted to perfection. Our vegan oat milk is ...",
Latvian Sorrel Soup ( Plant-Based Eastern European food),xAsc3nss0Xg,Nomante,2025-03-27T18:38:19Z,https://www.youtube.com/watch?v=xAsc3nss0Xg,,
"Plant based water, get your plant based water here",Pw8OcNua-vI,Fredo on TV,2025-01-16T19:00:14Z,https://www.youtube.com/watch?v=Pw8OcNua-vI,,
Ukrainian Borschch - Plant Based Eastern Europe,q4Xgd3h7muU,Nomante,2025-03-13T15:33:39Z,https://www.youtube.com/watch?v=q4Xgd3h7muU,,
REALISTIC WHAT I ATE IN A DAY AS A VEGAN IN SWITZERLAND🇨🇭#switzerland #veganfood #plantbased #vlog,JLWXrF4Xnaw,BrownGirlVegan,2025-03-02T14:18:17Z,https://www.youtube.com/watch?v=JLWXrF4Xnaw,,
Plant Based Nutella... WHY,L1e7g_EMSIk,AlexiBexi,2025-01-15T16:07:09Z,https://www.youtube.com/watch?v=L1e7g_EMSIk,,
The $365 Plant Based Restaurant,zgaW98O-0nY,Michael Ligier,2025-01-15T18:00:46Z,https://www.youtube.com/watch?v=zgaW98O-0nY,,
