Title,Video ID,Channel,Published At,URL,Description,Video Length
Easy Samosa folding method #viral #trending #ramadanrecipes #vegan #samosa #iftar,Znecmkpp2Ng,Kitchen with Noreen,2025-03-03T10:38:01Z,https://www.youtube.com/watch?v=Znecmkpp2Ng,Easy Samosa folding method #viral #trending #samosafoldingtechnique.,
Why Miley Cyrus Cried for Fish,6m-24auRAms,BudgetHow,2025-01-17T16:22:38Z,https://www.youtube.com/watch?v=6m-24auRAms,joeroganpodcast #joeroganexperience #podcast #jre #mileycyrus #vegan Credit: Joe Rogan Miley shared with Joe Rogan why ...,
Rice paper bacon from @itsvegansis,ECAZiUBGWqc,FutureCanoe,2025-02-15T17:42:50Z,https://www.youtube.com/watch?v=ECAZiUBGWqc,veganrecipes #bacon.,
Do I Regret Quitting Veganism?,d88h3Vbm4to,SenyaiGrubs,2025-01-25T16:00:41Z,https://www.youtube.com/watch?v=d88h3Vbm4to,shorts.,
I made a Dubai chocolate bar out of wax candy 🍫 #candy #shorts,o_cUb2OWglM,Sweets,2025-03-27T23:05:41Z,https://www.youtube.com/watch?v=o_cUb2OWglM,,
vegetarian tries chickfila for the first time ever,FL4ff0i_JUE,Olivia D. Novak,2025-03-23T04:46:44Z,https://www.youtube.com/watch?v=FL4ff0i_JUE,,
Cheesy Roasted Garlic Bread | The Ultimate Crispy & Flavorful Vegan Bread! 🧄🧀✨,jMq7l6MHBMY,Ahmad Noori,2025-03-10T16:16:44Z,https://www.youtube.com/watch?v=jMq7l6MHBMY,"This Cheesy Roasted Garlic Bread is the ultimate combination of crispy, cheesy, and garlicky goodness! ✨ Made with roasted ...",
Roasted Veggie Bowl | Easy & Nourishing Vegan Meal Prep! 🥦🥕🌱✨,B0qfFHMHbPI,Ahmad Noori,2025-03-14T19:27:33Z,https://www.youtube.com/watch?v=B0qfFHMHbPI,"This Roasted Veggie Bowl is the perfect healthy, balanced, and flavor-packed meal for any day of the week! ✨ Loaded with ...",
Enoki Mushroom? ❎🍄‍🟫 Vegan Scallop~ ✅😋,ddOx650Q_wA,Ms Shi and Mr He,2025-01-22T21:50:46Z,https://www.youtube.com/watch?v=ddOx650Q_wA,,
WHAT I ATE TODAY #ballerinadiet#vegan#plantbased#whatiatetoday#whatieatinaday#healthy#ballerina,eL83-Z-6qFU,Lori Hernandez,2025-03-22T02:06:56Z,https://www.youtube.com/watch?v=eL83-Z-6qFU,,
What’s in my fridge! #foodie #shorts #vegan #healthyfood #wellness #eating #eating,zpzxA_vmMzo,KarissaEats,2025-03-20T03:03:11Z,https://www.youtube.com/watch?v=zpzxA_vmMzo,,
How Being Vegan Became UNHEALTHY,ZtbeYwazv_A,Renaissance Periodization,2025-02-10T13:00:53Z,https://www.youtube.com/watch?v=ZtbeYwazv_A,The UPDATED RP HYPERTROPHY APP: https://rpstrength.com/hyped Become an RP channel member and get instant access to ...,
Soya Chunks Chilla | 50g Protein Powerhouse! 💪 | High Protein Vegan Breakfast Recipe #shorts #food,ObmCoJy3Gqw,ASMR Indian Chef,2025-02-16T06:35:00Z,https://www.youtube.com/watch?v=ObmCoJy3Gqw,High Protein Chilla recipe | 50 Grams protein in 20₹ | #shortsfeed #shorts #food #recipe #ytshorts Soya Chunks Chilla recipe ...,
Creamy Roasted Garlic Dip | Easy & Flavorful Vegan Appetizer! 🧄✨🌱,RGfy_Ebxnqg,Ahmad Noori,2025-02-25T18:55:24Z,https://www.youtube.com/watch?v=RGfy_Ebxnqg,"If you love garlic, you NEED to try this Creamy Roasted Garlic Dip! ✨ Smooth, rich, and packed with deep roasted garlic flavor, ...",
