Title,Video ID,Channel,Published At,URL,Description,Video Length
I try soft ice recipe #shorts,lyP8SgzDTxc,Guma Cook,2025-01-13T08:00:40Z,https://www.youtube.com/watch?v=lyP8SgzDTxc,,
Awesome Chocolate Cake ASMR || #shorts #asmrcooking #viral,xETPuEkC3qE,Bharat ASMR,2025-01-24T12:30:01Z,https://www.youtube.com/watch?v=xETPuEkC3qE,Awesome Chocolate Cake ASMR || #shorts #asmrcooking #viral #viralshorts #asmr #asmrshorts #chocolatecake ...,
Ajay Devgan Viral Rasgulla Drink Hack #shorts #ajaydevgan #rasgulla,TZ1LL9GE3yI,Recipes by Rama,2025-01-21T12:30:32Z,https://www.youtube.com/watch?v=TZ1LL9GE3yI,Ajay Devgan Viral Rasgulla Drink Hack #shorts #ajaydevgan #rasgulla Related tags:- #shorts #youtubeshorts #shortvideo ...,
Is this VIRAL WAX CANDY worth the MESS?,k_Uq1-f5dnA,Little Remy Food 🐭🍝,2025-01-07T21:33:57Z,https://www.youtube.com/watch?v=k_Uq1-f5dnA,Is this VIRAL WAX CANDY worth the MESS? ✨Recipe: Paraffin wax Jelly Directions: 1. Melt the wax in a double boiler like you ...,
Chalaak Behen🥺😢 #shorts #trendingshorts #foodlover #tasty #viral #meghachaube,UfLAGcRw5K4,Megha Chaube Shorts,2025-02-03T07:47:52Z,https://www.youtube.com/watch?v=UfLAGcRw5K4,,
Did I FINALLY get this VIRAL WAX CANDY right?,kWDBDA-Kb84,Little Remy Food 🐭🍝,2025-01-25T21:42:24Z,https://www.youtube.com/watch?v=kWDBDA-Kb84,Did I make the VIRAL WAX CANDY wrong? ✨Recipe: Ingredients: • Beeswax • Glaze for Strawberries Directions: 1. Melt the wax ...,
2 INGREDIENT MANGO SORBET #SHORTS,ie_xq5Aga9o,Catherine.desserts,2025-02-09T19:57:26Z,https://www.youtube.com/watch?v=ie_xq5Aga9o,"If you're looking for a sweet treat, or an Asian style dessert you've come to the right place! Follow me! My blog: ...",
"Viral Tomato & Feta Pasta, My way! 💁‍♀️ #Dinner #Cooking #ViralVideo #EasyRecipe",Ou2yy8WJZYM,Mama J Rae,2025-01-29T12:55:17Z,https://www.youtube.com/watch?v=Ou2yy8WJZYM,This is my second most viral video with over 20 million views!! This pasta does not disappoint. #Recipe.,
Kurkure ki unique recipe!!! #food #shorts #shortvideo #youtubeshorts,KZZ9edOE8aQ,Secret of yum,2025-02-18T11:00:24Z,https://www.youtube.com/watch?v=KZZ9edOE8aQ,,
Testing the Viral DUBAI CHOCOLATE Recipe from TikTok!,rDPekB6bee4,Hey It's Honeysuckle,2025-01-02T20:41:06Z,https://www.youtube.com/watch?v=rDPekB6bee4,Follow me on InstagramL https://www.instagram.com/honeysuckle/ SHOP all the cooking gadgets: ...,
Easy Samosa folding method #viral #trending #ramadanrecipes #vegan #samosa #iftar,Znecmkpp2Ng,Kitchen with Noreen,2025-03-03T10:38:01Z,https://www.youtube.com/watch?v=Znecmkpp2Ng,Easy Samosa folding method #viral #trending #samosafoldingtechnique.,
😱 Magnum Ki VIRAL Recipe 😱 #shorts,XMjtUCKpEAw,Foodie We,2025-03-11T07:30:11Z,https://www.youtube.com/watch?v=XMjtUCKpEAw,viralvideo #viralshorts #trending #ytshorts #recipe.,
"""Recreating Farah Khan's Roast Chicken!"" #Roastchicken #chickenrecipe #shorts #viral #xdkitchen",tKNTJwQ8h6g,XD KITCHEN ,2025-01-25T06:30:23Z,https://www.youtube.com/watch?v=tKNTJwQ8h6g,,
Street Style Starter Recipe 🤤 #streetfood #paneertikka #shorts #viral #xdkitchen,_eEHqWodRwk,XD KITCHEN ,2025-01-27T06:30:12Z,https://www.youtube.com/watch?v=_eEHqWodRwk,,
The shocking truth behind Lays Potato Chips #shorts #viral #potatochips,6HMOa_wXXrI,Deboshrita Family Vlogs,2025-01-17T12:40:00Z,https://www.youtube.com/watch?v=6HMOa_wXXrI,The shocking truth behind Lays Potato Chips #shorts #viral #potatochips lays potato chips lays potato chips recipe lays potato ...,
@itsQCP  reacts and tries the MOST VIRAL Mac n Cheese Recipe!!,cLnA1cqNsbw,QCP Clips,2025-02-21T20:34:44Z,https://www.youtube.com/watch?v=cLnA1cqNsbw,qcp #reactionvideo #macandcheese #cookingshorts #funnyshorts.,
Viral Chocolate Strawberry🍓🍫🤩 #chocolaterecipe #chocolatestrawberry #dessert #viral,wowftZW-2Tw,Mallu Vlogz,2025-02-22T13:30:09Z,https://www.youtube.com/watch?v=wowftZW-2Tw,,
Bread Caramel Pudding #shorts #viral,R1w450x60dI,Taiyaba A,2025-02-17T13:00:59Z,https://www.youtube.com/watch?v=R1w450x60dI,,
Maggi Chaat Secret Exposed #shorts #viral #magi #chaat,_yb9BZziVJo,Deboshrita Family Vlogs,2025-02-07T12:40:00Z,https://www.youtube.com/watch?v=_yb9BZziVJo,Maggi Chaat Secret Exposed #shorts #viral #magi #chaat maggi chaat maggi chaat recipe maggi chaat recipe in tamil maggi ...,
Holi Special || Thums Up with chocolate 🍫 #shorts #viral #thumsup,pqvc1_hHzRM,Deboshrita Family Vlogs,2025-03-12T12:40:02Z,https://www.youtube.com/watch?v=pqvc1_hHzRM,Holi Special || Thums Up with chocolate #shorts #viral #thumsup thums up thums up ad thums up ad sudeep thumbs up thums ...,
7 days Diet Plan By Nimra Khan #shorts #trending #viralvideo #ytshorts #recipe #food #cooking #viral,BZ7wxIOFJyM,FamJam Recipes,2025-02-27T12:34:15Z,https://www.youtube.com/watch?v=BZ7wxIOFJyM,7 days Diet Plan By Nimra Khan #shorts #trending #viralvideo #ytshorts #recipe #food #cooking #viral #shorts #trending ...,
TOP 5 VIRAL FOODS OF 2024!! 🥒🍫✨🍡🍓 #viralfood #cucumber #dubaichocolate #tanghulu,NmZ-0GVh_zE,emme zhou,2025-01-01T23:04:26Z,https://www.youtube.com/watch?v=NmZ-0GVh_zE,,
Tawa Burger | #food #viralshort #cooking #recipe #streetstyle #easyrecipe #lunchboxrecipe #ytshorts,cNOGka_J6s8,eatandeatttttt,2025-02-06T04:40:15Z,https://www.youtube.com/watch?v=cNOGka_J6s8,,
Bharti Singh's Viral Biscuit Cake #shorts #homemadecake #bhartisingh,D9kf-NcxQcQ,Recipes by Rama,2025-01-09T13:30:09Z,https://www.youtube.com/watch?v=D9kf-NcxQcQ,Bharti Singh's Viral Biscuit Cake #shorts #homemadecake #bhartisingh Related tags:- #shorts #youtubeshorts #shortvideo ...,
Home-made chocolates 👌🍫🍫🍬#trending #reels#viral,ySOKc8WBUgY,Monu kitchen & vlogs,2025-01-04T13:31:18Z,https://www.youtube.com/watch?v=ySOKc8WBUgY,,
Viral Custard Falooda #shorts #ramadan #custardrecipe #trendingshorts #shortvideo #viralvideo,dZc6AXGFByo,Ain Zain Kitchen,2025-03-05T15:37:19Z,https://www.youtube.com/watch?v=dZc6AXGFByo,Viral Custard Falooda #shorts #ramadan #custardrecipe #trendingshorts #shortvideo #viralvideo #custardfalooda ...,
Mango Stuffed Kulfi #viralvideo #kulfi #summer #food #foodies #cookingvlog #mango #shortvideo#shorts,_Nd_Bp-WQeA,Poonam's Cookery,2025-03-30T13:36:06Z,https://www.youtube.com/watch?v=_Nd_Bp-WQeA,,
Neena Gupta's Viral Homemade Crispy Pizza/Rotizza 🍕|| #shorts #neenagupta #kareenakapoorkhan,Yih7OgyxWHQ,Shobha's Easy Recipe,2025-02-23T15:59:44Z,https://www.youtube.com/watch?v=Yih7OgyxWHQ,Neena Gupta's Viral Homemade Crispy Pizza/Rotizza || #shorts #neenagupta #kareenakapoorkhan #mirchiplus #ytshorts ...,
Kajol's Family Favorite Viral Mutton Curry Recipe #shorts #kajoldevgan #muttoncurry,Rdox9gBwUaU,Recipes by Rama,2025-02-14T12:30:25Z,https://www.youtube.com/watch?v=Rdox9gBwUaU,Kajol's Family Favorite Viral Mutton Curry Recipe #shorts #kajoldevgan #muttoncurry Related tags:- #shorts #youtubeshorts ...,
This VIRAL DUBAI CHOCOLATE STRAWBERRY CUP is like a spoonful of MAGIC!,r7vxw5Kl2Cs,Little Remy Food 🐭🍝,2025-01-26T21:06:07Z,https://www.youtube.com/watch?v=r7vxw5Kl2Cs,This VIRAL DUBAI CHOCOLATE STRAWBERRY CUP is like a spoonful of MAGIC! ✨Recipe: Ingredients: • 1 (16 oz) cup ...,
Nashta recipe#short#viralrecipe #homelycookingcorner,3R75jHem1AM,Homely Cooking by Afreen,2025-01-23T14:39:57Z,https://www.youtube.com/watch?v=3R75jHem1AM,,
World Famous Snack Recipe #trending #food  #simple #shorts #variety #viral #healthy #potatorecipes,7fSiiWOUXdI,Meeyazh Times,2025-01-23T17:06:37Z,https://www.youtube.com/watch?v=7fSiiWOUXdI,,
Broccoli & Shrimp Stir-Fry: Viral Recipe at Home for Just $1! 🥦🍤,6YPnpO6IbZg,Chongbian's Kitchen,2025-01-28T11:00:09Z,https://www.youtube.com/watch?v=6YPnpO6IbZg,Discover the viral broccoli recipe that costs just a few dollars to make at home! ✨ This simple and healthy stir-fry is packed with ...,
₹20 se banaen itne sare momos 🤤 #trending #viral #cooking #recipe #food #shorts #short #streetfood,2JElRSFEtyg,Actor Rohan Vlogs,2025-02-16T09:30:02Z,https://www.youtube.com/watch?v=2JElRSFEtyg,My Instagram :- https://instagram.com/actorrohankumar?igshid=NGExMmI2YTkyZg== #Actorrohanvlogs Thanks For ...,
Bharti Singh on Body Shaming | Viral 4-in-1 Paratha Recipe #shorts #celebrityrecipe #paratha,Wgn7JNRvKq4,Recipes by Rama,2025-03-12T13:00:48Z,https://www.youtube.com/watch?v=Wgn7JNRvKq4,Watch #bhartisingh share her thoughts on body shaming while we make a delicious 4-in-1 paratha! Related tags:- #shorts ...,
Is the VIRAL PEACH ICE CREAM Possible to Make at Home?,IoI3aMWWS2U,Little Remy Food 🐭🍝,2025-02-28T21:20:58Z,https://www.youtube.com/watch?v=IoI3aMWWS2U,"Is the VIRAL PEACH ICE CREAM Possible to Make at Home? ✨Recipe: Ingredients: • Peach ice cream • White chocolate, melted ...",
How to Make Viral Angel Hair Chocolate at Home. Pişmaniye Chocolate.,qDSLBt265fU,KRISTASTICA,2025-02-25T09:37:15Z,https://www.youtube.com/watch?v=qDSLBt265fU,"Learn how to make the viral Angel Hair Chocolate at home! This delicious dessert features soft, airy pişmaniye (also known as ...",
Viral Zym Coach Nitesh Soni's Healthy Dry Fruit Laddu Recipe #shorts #ashortaday,WSzjwA1oIYk,Deepa's Kitchen Tadka,2025-02-08T08:34:30Z,https://www.youtube.com/watch?v=WSzjwA1oIYk,Viral Zym Coach Nitesh Soni's Healthy Dry Fruit Laddu Recipe #shorts #niteshsoni #laddu #laddurecipe #healthyladdu ...,
Trending recipe of mini potato balls #shorts #recipe #potato #snacks #viral #shortsfeed #trending,jBDUv_R48gI,Ghar ka khana vlog,2025-03-20T07:30:16Z,https://www.youtube.com/watch?v=jBDUv_R48gI,Trending recipe of mini potato balls #shorts #recipe #potato #snacks #viral #shortsfeed #trending #shortvideo #viralvideo ...,
Dubai Viral Kunafa Chocolate🍫😋 | Kunafa Chocolate At Home🤩 #shorts #trending #kunafachocolate,s_khVQV1G8U,Meshi Shorts,2025-01-03T11:01:29Z,https://www.youtube.com/watch?v=s_khVQV1G8U,,
How I went from ruining a cake to making a viral gender reveal cake! How did it turn out?,zEZtLOeeNLo,Cakes By Marian,2025-03-15T18:29:13Z,https://www.youtube.com/watch?v=zEZtLOeeNLo,,
Jaggu Dada's viral anda kadipata recipe #jakieshroff #celebrity #recipes #eggrecipe #healthyeats,YxKEa_TUttU,The_flavourful_bite,2025-01-15T06:15:22Z,https://www.youtube.com/watch?v=YxKEa_TUttU,,
How I went from ruining a cake to making a viral gender reveal cake! How did it turn out?,zEZtLOeeNLo,Cakes By Marian,2025-03-15T18:29:13Z,https://www.youtube.com/watch?v=zEZtLOeeNLo,,
I Tried the Viral Pancake Stick Recipe,e_lU4O0XO4k,Nasriya Ajmal,2025-02-22T13:36:46Z,https://www.youtube.com/watch?v=e_lU4O0XO4k,I Tried the Viral Pancake Stick Recipe.,
MasterChef Garima Arora's Simple But Delicious Green Chutney #shorts #masterchefindia #viral #food,QVdbSuP6KaM,Rekha's Kitchen,2025-02-11T11:30:17Z,https://www.youtube.com/watch?v=QVdbSuP6KaM,MasterChef Garima Arora's Simple But Delicious Green Chutney #shorts #masterchefindia #viral #food #shorts #short #asmr ...,
Are these the BEST Chocolate Covered Fruit Yogurt Bites EVER?,x6yQyWrkzbE,Little Remy Food 🐭🍝,2025-03-08T21:27:58Z,https://www.youtube.com/watch?v=x6yQyWrkzbE,Are these the BEST Chocolate Covered Fruit Yogurt Bites EVER? ✨Recipe: Ingredients: • 1 cup Greek yogurt • 1 cup fruit of ...,
Detox Water For Summers | WeightLoss | Clear Skin | #shorts #viral #trending,G5EajZKr6_M,Foodies Food Court,2025-03-24T06:09:06Z,https://www.youtube.com/watch?v=G5EajZKr6_M,,
Best Palak Kachauri 🥗 with Me Recipe #shorts #palak #Kachauri #trending #viral #video #cooking,jW_WOb6Pzgw,India'sखाना ,2025-02-10T07:30:23Z,https://www.youtube.com/watch?v=jW_WOb6Pzgw,Best Palak Kachauri with Me Recipe #shorts #palak #Kachauri #trending #viral #video #cooking #indiankhana #shortsviral ...,
Masterchef viral Tikhi methi Masala Hari mirchi🌶️ #trending #viralcelebrityrecipe #shorts #brar #1m,QRfMn6mvC_w,🧿KII & 🧿KAA,2025-03-14T13:52:14Z,https://www.youtube.com/watch?v=QRfMn6mvC_w,Masterchef viral Tikhi methi Masala Hari mirchi🌶️ #trending #viralcelebrityrecipe #shorts #brar #1million #vikaskhanna #chef ...,
Dubai's Viral Chocolate Bar 🍫 #shorts,hMXgHGwbTBk,Beat The Hunger,2025-02-05T12:15:08Z,https://www.youtube.com/watch?v=hMXgHGwbTBk,beat_the_hunger Ingredients: . Dark Chocolate/Milk Chocolate . For Kunafa Filling: - Kunafa Vermicelli - Butter - Pistachio Cream .,
DairyMilk Fruit & Nut Chocolate Milkshake #shorts #asmrcooking #viral,rgGHrSnzcjE,Bharat ASMR,2025-03-25T13:01:09Z,https://www.youtube.com/watch?v=rgGHrSnzcjE,DairyMilk Fruit & Nut Chocolate Milkshake #shorts #asmrcooking #viral #streetfoodshorts #cookingshorts #asmr #asmrshorts ...,
Healthy Atta Pasta Recipe | #shorts #shortsviral #pastarecipe #viralrecipe #indianfood,b9RMEnRwk7k,Kitchen Tips Of Alka,2025-01-28T14:38:47Z,https://www.youtube.com/watch?v=b9RMEnRwk7k,Healthy Atta Pasta Recipe | #shorts #shortsviral #pastarecipe #viralrecipe #indianfood #youtubeshorts #viral #macaroni ...,
No Bread Sweet Potato Sandwich Recipe. #recipeshorts #viralrecipe #recipe #viralshorts #shorts,Zd8ks8dS-70,FashionableFoodies,2025-02-03T12:33:52Z,https://www.youtube.com/watch?v=Zd8ks8dS-70,,
nashta banane ki recipe 🤔#shorts #short #shortvideo #viral#trending #tricks#ytshorts#devanshukitchen,GUqxWKem_Bg,Devanshu's  kitchen,2025-03-05T11:44:14Z,https://www.youtube.com/watch?v=GUqxWKem_Bg,nashta banane ki recipe #shorts #short #shortvideo #viral#trending #tricks#ytshorts#devanshukitchen.,
Sindhi Koki Recipe #shortaday #viralrecipe #sindhikoki #sunilshetty #bhartisingh #harshlimbachia,72WJMZUVqQ8,Magic Meals,2025-03-11T11:26:43Z,https://www.youtube.com/watch?v=72WJMZUVqQ8,sindhikoki #sindhirecipe #bhartisinghpodcast #sunilshetty Learn how to make the delicious Sindhi Koki with this easy recipe!,
Crunchy Paneer Popcorn ASMR #shorts,pHRgLE7JVio,Bharat ASMR,2025-01-10T12:30:05Z,https://www.youtube.com/watch?v=pHRgLE7JVio,Crunchy Paneer Popcorn ASMR #shorts #streetfoodpanner #streetfoodshorts #cookingpanner #cookingshorts #asmr ...,
Aloo Lachha/Namkin #viralvideo #recipe #food #cooking #shortvideo #easyrecipe #aloo #holi,bFhl5eInlk8,Poonam's Cookery,2025-03-06T12:51:45Z,https://www.youtube.com/watch?v=bFhl5eInlk8,,
Ham Chips in an Air Fryer? Testing This Tasty Viral Snack!,djatrwjMDxY,Dobrovolskyi Chef,2025-03-23T17:44:38Z,https://www.youtube.com/watch?v=djatrwjMDxY,Can you really make crispy chips out of ham or sausage using just an air fryer? I had to put this mouthwatering viral recipe to the ...,
Saif Ali Khan's Favourite desi Chinese #saifalikhan #viralrecipe #trending#healthyrecipe  #food #yt,9TVLAOnO1Lg,Travel & Food,2025-01-17T13:15:45Z,https://www.youtube.com/watch?v=9TVLAOnO1Lg,Saif Ali Khan's Favourite desi Chinese #saifalikhan #viralrecipe #celebrity #hoolywood #bollywood #trending#healthyrecipe ...,
Farah Khan's SECRET Palak Paneer Recipe REVEALED! #shorts #easyrecipe,ej1yCQWlOUE,leasyfood ,2025-01-11T12:40:01Z,https://www.youtube.com/watch?v=ej1yCQWlOUE,Farah Khan's SECRET Palak Paneer Recipe REVEALED! #shorts #easyrecipe Farah Khan's SECRET Palak Paneer Recipe ...,
World's most Expensive😜 Coffee☕ #bottle #hack #shorts #waglekiduniya #trending #viralrecipe #funny,dcjPN9EpCwM,🧿KII & 🧿KAA,2025-02-04T03:29:00Z,https://www.youtube.com/watch?v=dcjPN9EpCwM,watchtilltheend World's most Expensive   Coffee☕ #bottle #hack #shorts #waglekiduniya #trending #viralrecipe #funny Related ...,
Ajay Devgan Viral Recipe Sweet Scrambled Eggs #shorts #scrambledeggs #ajaydevgan,5v3Yx_mXiOE,Recipes by Rama,2025-01-27T12:30:05Z,https://www.youtube.com/watch?v=5v3Yx_mXiOE,Ajay Devgan Viral Recipe Sweet Scrambled Eggs #shorts #scrambledeggs #ajaydevgan Related tags:- #shorts #youtubeshorts ...,
Yummy Macroni Recipe 🤤😍 #shorts #trendingshorts #food #recipe #viral #meghachaube,OQPDeoBt658,Megha Chaube Shorts,2025-02-04T13:56:40Z,https://www.youtube.com/watch?v=OQPDeoBt658,,
Bharti Singh's Viral Apple Dessert Recipe #shorts #mousse #bhartisingh,Y6dITB8R-mM,Recipes by Rama,2025-01-07T13:30:27Z,https://www.youtube.com/watch?v=Y6dITB8R-mM,Bharti Singh's Viral Apple Mousse Recipe #shorts #mousse #bhartisingh Related tags:- #shorts #youtubeshorts #shortvideo ...,
